,root:Engineered:Wastewater,root:Environmental:Aquatic,root:Environmental:Terrestrial,root:Host-associated:Human,root:Host-associated:Insecta,root:Host-associated:Mammals,root:Host-associated:Plants,Unknown
SRR8605621,0.0011767377,0.0029727626,0.0055710035,0.001749677,0.000650621,0.002064439,0.9858148,0.0
ERR2528817,0.0020537593,0.0013667976,0.00045833917,0.0055180476,0.0018529606,0.98607534,0.0026746653,0.0
SRR8605225,0.0011767377,0.0029727626,0.0055710035,0.001749677,0.000650621,0.002064439,0.9858148,0.0
ERR1314307,0.00042680546,0.00081638363,0.0013108345,0.9943835,0.0011379299,0.0011567516,0.00076788705,0.0
SRR5915528,0.001306691,0.99253964,0.0022481622,0.0012082804,0.0013529739,0.00030270798,0.001041484,0.0
ERR2784848,0.0003652667,0.0008460278,0.0010510705,0.9951948,0.000882822,0.0010238166,0.0006362001,0.0
SRR3034970,0.00036136346,0.0008270138,0.0010670609,0.9952241,0.0008644905,0.0010113362,0.00064459344,0.0
ERR3344392,0.001306691,0.99253964,0.0022481622,0.0012082804,0.0013529739,0.00030270798,0.001041484,0.0
ERR1385430,0.0003702144,0.0008617828,0.0010381518,0.9951601,0.00090479024,0.0010340799,0.0006308446,0.0
ERR2003193,0.00036204842,0.0008355467,0.0010585949,0.9952167,0.0008691302,0.0010178192,0.0006401083,0.0
SRR5178958,0.001306691,0.99253964,0.0022481622,0.0012082804,0.0013529739,0.00030270798,0.001041484,0.0
DRR044044,0.0003635684,0.00084031164,0.0010544761,0.9952061,0.00087600574,0.0010211299,0.0006384217,0.0
SRR1632482,0.00036172086,0.00083156273,0.0010624566,0.9952204,0.0008669294,0.0010147858,0.0006421578,0.0
ERR1298170,0.0011767377,0.0029727626,0.0055710035,0.001749677,0.000650621,0.002064439,0.9858148,0.0
SRR5196331,0.00038577127,0.00086267944,0.0010712598,0.99497294,0.0009835117,0.0010857657,0.0006380475,0.0
ERR499150,0.0003623464,0.00083789637,0.0010563681,0.99521387,0.000870945,0.0010195748,0.0006388911,0.0
SRR1949359,0.00036103546,0.0008258523,0.0010680682,0.9952267,0.00086285337,0.0010106199,0.0006449779,0.0
SRR3501922,0.00036413502,0.00083606614,0.0010615255,0.9952055,0.00087535655,0.0010155777,0.0006418132,0.0
ERR579531,0.0003615123,0.0008289759,0.0010654568,0.99522257,0.0008653827,0.0010125258,0.00064355374,0.0
SRR6457166,0.001306691,0.99253964,0.0022481622,0.0012082804,0.0013529739,0.00030270798,0.001041484,0.0
ERR498495,0.00036103537,0.00082683284,0.0010670872,0.9952263,0.0008630315,0.0010112735,0.0006444428,0.0
SRR5431429,0.00036094605,0.0008262083,0.0010676513,0.9952269,0.00086267444,0.0010107976,0.00064479915,0.0
ERR1311570,0.00029171098,0.0006715109,0.0021277813,0.9920913,0.0011252176,0.0031215034,0.0005710498,0.0
