,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic diseases:Irritable Bowel Syndrome,"root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Inflammatory Bowel Diseases:Colitis, Ulcerative",root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Inflammatory Bowel Diseases:Crohn Disease,Unknown
SRR5429226,0.0033475757,0.0067071617,0.011200964,0.97874427
SRR5548347,0.0045378506,0.26909772,0.0343813,0.6919831
SRR5078789,0.0032520592,0.0060102046,0.010744542,0.9799932
SRR5637777,0.012551665,0.61931664,0.052070975,0.31606072
SRR051715,0.72410977,0.008039176,0.025422186,0.2424289
SRR961790,0.009141356,0.022943735,0.011347592,0.9565673
SRR5549011,0.010794967,0.89449716,0.074750304,0.019957542
ERR525995,0.004407257,0.6417392,0.058372468,0.2954811
SRR5343194,0.01430881,0.06010461,0.03613034,0.8894563
SRR5761712,0.011231512,0.0064089894,0.020731002,0.9616285
SRR6724520,0.0056385696,0.01834485,0.010889649,0.96512693
SRR6331198,0.003414929,0.0060293376,0.01096794,0.9795878
SRR7507646,0.0045001507,0.0059565306,0.01279819,0.9767451
SRR6182532,0.0032953024,0.006408602,0.010685086,0.97961104
SRR5757906,0.003080517,0.011574656,0.013074875,0.97226995
SRR6265561,0.0032925308,0.0064465404,0.010867268,0.97939366
SRR5202839,0.0032272935,0.0065508783,0.010956824,0.979265
SRR1766081,0.0447658,0.007514715,0.018194944,0.92952454
SRR5202912,0.10733467,0.043430686,0.03728056,0.8119541
SRR5758090,0.003247708,0.0059761107,0.01075995,0.98001623
SRR1008768,0.025120333,0.911118,0.06376171,0.0
SRR6264714,0.004734963,0.0061973035,0.013375998,0.97569174
SRR5580452,0.01980263,0.0055803657,0.028611183,0.9460058
SRR5648997,0.005968243,0.006939292,0.011384964,0.97570753
SRR6182360,0.011536211,0.20348668,0.027269542,0.7577076
SRR5548686,0.11523029,0.5186192,0.040558785,0.32559168
SRR1765993,0.7101759,0.009602994,0.028630018,0.2515911
ERR209579,0.007232666,0.5229895,0.072699934,0.39707792
ERR209481,0.0037522316,0.1096867,0.025139302,0.86142176
SRR5983392,0.01786545,0.69825256,0.07246491,0.21141708
SRR5758025,0.003247708,0.0059729517,0.010764629,0.9800147
SRR5648773,0.02321881,0.0090946555,0.017036438,0.9506501
SRR5983278,0.007154405,0.028867543,0.023686886,0.94029117
SRR6724436,0.004162878,0.043885946,0.014102399,0.9378488
SRR6724560,0.0034346282,0.009252697,0.010690808,0.97662187
ERR719740,0.02582869,0.027216583,0.04125297,0.90570176
ERR505100,0.010543734,0.47130528,0.06656194,0.45158905
SRR5548426,0.0036101937,0.015964866,0.011826038,0.9685989
SRR5202936,0.0032975078,0.0076797605,0.011449844,0.9775729
ERR720068,0.003303349,0.009913713,0.01157853,0.9752044
SRR5649116,0.00325346,0.0059720874,0.010774285,0.98000014
ERR525972,0.055133104,0.039927453,0.03508994,0.8698495
SRR5649083,0.012630433,0.007260561,0.016341299,0.9637677
SRR5078708,0.0032613277,0.0060825646,0.010711968,0.9799441
SRR6182381,0.0036766827,0.01066187,0.010681361,0.9749801
ERR695632,0.0113835335,0.022087723,0.014174134,0.9523546
SRR7507337,0.0033450723,0.0066780746,0.010820866,0.979156
SRR5548693,0.07108725,0.8227123,0.10620044,0.0
SRR051686,0.104522794,0.004798919,0.03562361,0.8550547
SRR5343090,0.003246963,0.00597167,0.010762811,0.98001856
ERR719243,0.0034312606,0.041389644,0.017708153,0.9374709
SRR5548032,0.009359121,0.8922478,0.08438259,0.014010489
SRR6424580,0.002878338,0.008691877,0.011982739,0.97644705
SRR5429353,0.0032513142,0.005993247,0.01076895,0.9799865
ERR719216,0.02351132,0.011490524,0.03237292,0.93262523
SRR6265091,0.009152651,0.16116309,0.030056298,0.79962796
