,root:Host-associated:Human,Unknown
SRR6866469,0.9934759,0.006524086
ERR2198027,0.9934788,0.006521225
ERR1314668,0.9934788,0.006521225
ERR719442,0.9934788,0.006521225
ERR1385224,0.9934788,0.006521225
SRR7448602,0.9934788,0.006521225
SRR1618345,0.9934788,0.006521225
SRR6394203,0.9934788,0.006521225
SRR2144020,0.99347854,0.0065214634
ERR1987733,0.9933927,0.006607294
ERR1109583,0.9934779,0.006522119
SRR6264285,0.9934788,0.006521225
ERR441386,0.99347866,0.006521344
ERR1384587,0.9934788,0.006521225
SRR5688083,0.9934788,0.006521225
ERR1310720,0.9934788,0.006521225
ERR2739102,0.9934788,0.006521225
ERR107002,0.9934572,0.006542802
ERR498473,0.99343026,0.006569743
ERR1913230,0.9934788,0.006521225
SRR1617820,0.9934788,0.006521225
ERR2511886,0.9934788,0.006521225
DRR044305,0.9934367,0.006563306
SRR7449004,0.9934788,0.006521225
DRR041937,0.9933994,0.0066006184
ERR1331807,0.9934784,0.0065215826
SRR6264412,0.9934788,0.006521225
ERR1913060,0.99346566,0.006534338
SRR6411976,0.9934788,0.006521225
SRR6414056,0.9934786,0.006521404
SRR2658740,0.9934788,0.006521225
SRR6265647,0.9934788,0.006521225
SRR2143696,0.9934788,0.006521225
ERR501236,0.9934788,0.006521225
SRR388066,0.9934788,0.006521225
DRR030610,0.9934788,0.006521225
ERR2511832,0.9934788,0.006521225
SRR2924477,0.9934788,0.006521225
ERR209821,0.9934788,0.006521225
ERR1313747,0.9934782,0.006521821
SRR995596,0.9934788,0.006521225
SRR6038325,0.9934788,0.006521225
DRR043906,0.99347353,0.00652647
SRR6414045,0.9934788,0.006521225
ERR2002381,0.9934788,0.006521225
ERR1701245,0.9934788,0.006521225
ERR2002243,0.9934788,0.006521225
ERR1960823,0.9934788,0.006521225
DRR030599,0.9934788,0.006521225
SRR996975,0.9934788,0.006521225
ERR532081,0.9934788,0.006521225
ERR1384923,0.9934788,0.006521225
ERR441446,0.99347854,0.0065214634
SRR3094817,0.9934788,0.006521225
DRR047731,0.9934634,0.006536603
SRR920607,0.9934788,0.006521225
ERR1109652,0.9934786,0.006521404
ERR1611389,0.9934788,0.006521225
SRR2658011,0.99347883,0.0065211654
SRR823317,0.9934741,0.006525874
SRR6931490,0.9934788,0.006521225
DRR024059,0.9934753,0.006524682
SRR7448670,0.9934788,0.006521225
ERR139112,0.9934788,0.006521225
ERR1383816,0.99347883,0.0065211654
SRR6417493,0.9934757,0.0065243244
ERR1885249,0.9934788,0.006521225
ERR1020510,0.9934788,0.006521225
ERR499930,0.9934788,0.006521225
SRR2155019,0.9934788,0.006521225
SRR1145277,0.9934628,0.006537199
ERR1811120,0.9934788,0.006521225
ERR365884,0.9934788,0.006521225
SRR6028495,0.9934786,0.006521404
SRR6444654,0.9934775,0.0065224767
SRR6054673,0.9934788,0.006521225
ERR441979,0.99345,0.006550014
SRR1618302,0.9934788,0.006521225
ERR500292,0.9934788,0.006521225
SRR996007,0.9934788,0.006521225
SRR5688044,0.9934788,0.006521225
SRR6931721,0.9934789,0.0065211058
ERR883455,0.9934788,0.006521225
SRR7448824,0.99347854,0.0065214634
SRR7449426,0.9934788,0.006521225
ERR2511070,0.9934788,0.006521225
ERR2198076,0.9934788,0.006521225
ERR2730369,0.9934788,0.006521225
SRR6054702,0.9934767,0.006523311
SRR6264920,0.9934788,0.006521225
ERR1678092,0.99347466,0.0065253377
SRR5983377,0.9934782,0.006521821
ERR1885029,0.9934741,0.006525874
DRR047648,0.993421,0.006578982
SRR5644010,0.9934788,0.006521225
ERR443167,0.9934788,0.006521225
ERR1311268,0.9934788,0.006521225
ERR501253,0.9934788,0.006521225
SRR6408700,0.9934788,0.006521225
ERR1384718,0.9934788,0.006521225
SRR6038426,0.9934751,0.0065249205
SRR2154948,0.9934788,0.006521225
ERR139306,0.9934789,0.0065211058
SRR1617887,0.9934788,0.006521225
SRR6309282,0.9934788,0.006521225
DRR047550,0.9934728,0.0065271854
ERR2738745,0.9934788,0.006521225
SRR7448680,0.9934788,0.006521225
ERR500097,0.9934788,0.006521225
ERR501346,0.9934788,0.006521225
SRR1923906,0.9934788,0.006521225
ERR1111279,0.9934787,0.0065212846
ERR1384994,0.9934788,0.006521225
SRR6408571,0.9934788,0.006521225
SRR3361563,0.9934788,0.006521225
SRR7797559,0.9931781,0.006821871
ERR1310621,0.9934788,0.006521225
SRR387969,0.9934581,0.006541908
SRR920902,0.9934788,0.006521225
ERR500996,0.9934789,0.0065211058
SRR3094832,0.9934788,0.006521225
ERR443600,0.9934788,0.006521225
SRR5467781,0.99346364,0.0065363646
SRR6394045,0.9934787,0.0065212846
ERR1313504,0.9934788,0.006521225
ERR498745,0.9934788,0.006521225
ERR498725,0.9934788,0.006521225
ERR499076,0.9934788,0.006521225
ERR2738771,0.99347883,0.0065211654
SRR6054631,0.9934787,0.0065212846
ERR499690,0.9934788,0.006521225
ERR1314079,0.9934785,0.006521523
ERR1111270,0.9934788,0.006521225
DRR042935,0.9934778,0.0065221786
SRR6932486,0.9934788,0.006521225
DRR029205,0.9934773,0.006522715
SRR5687877,0.9934788,0.006521225
SRR6444663,0.99346817,0.0065318346
SRR7448859,0.9934788,0.006521225
ERR500566,0.9934788,0.006521225
SRR2145486,0.9934788,0.006521225
ERR1311130,0.9934788,0.006521225
ERR2738952,0.9934788,0.006521225
SRR3732494,0.9934788,0.006521225
ERR522361,0.9934788,0.006521225
ERR531722,0.9934775,0.0065224767
SRR6443864,0.9934789,0.0065211058
SRR6394120,0.9934788,0.006521225
SRR6264578,0.9934788,0.006521225
DRR043929,0.99347746,0.0065225363
ERR2511120,0.9934788,0.006521225
SRR5724721,0.9934788,0.006521225
ERR1383010,0.99347883,0.0065211654
SRR3095109,0.9934788,0.006521225
SRR6054438,0.9934788,0.006521225
ERR520714,0.99347883,0.0065211654
SRR1922958,0.99346787,0.0065321326
ERR209251,0.9934788,0.006521225
SRR6411661,0.99347883,0.0065211654
SRR3053536,0.9934788,0.006521225
SRR5196283,0.9934786,0.006521404
DRR030467,0.9934788,0.006521225
SRR3419462,0.9934788,0.006521225
ERR579604,0.9934788,0.006521225
SRR2761301,0.9934788,0.006521225
SRR2155039,0.9934788,0.006521225
ERR522099,0.9934788,0.006521225
ERR1314821,0.9934788,0.006521225
ERR1383824,0.9934783,0.006521702
ERR1678088,0.9934788,0.006521225
SRR3503358,0.9934788,0.006521225
SRR3992167,0.9934788,0.006521225
SRR6931654,0.9934764,0.006523609
SRR1660214,0.9934788,0.006521225
SRR7453819,0.9934788,0.006521225
SRR3094891,0.99347883,0.0065211654
SRR6365002,0.9934788,0.006521225
SRR5699357,0.9934788,0.006521225
ERR441051,0.99347883,0.0065211654
SRR7453925,0.9934788,0.006521225
SRR2924496,0.9934788,0.006521225
ERR1383542,0.9934788,0.006521225
DRR041986,0.99346125,0.0065387487
ERR498729,0.9934788,0.006521225
SRR5467894,0.99341244,0.006587565
