,root:Host-associated:Human:Circulatory_system,root:Host-associated:Human:Digestive_system,root:Host-associated:Human:Lympathic_system,root:Host-associated:Human:Reproductive_system,root:Host-associated:Human:Respiratory_system,root:Host-associated:Human:Skin,Unknown
SRR6866469,0.0014534498,0.99249566,0.0014203865,0.0010112092,0.0019549252,0.0016644254,0.0
ERR2198027,0.0014534498,0.99249566,0.0014203865,0.0010112092,0.0019549252,0.0016644254,0.0
ERR1314668,0.0014534498,0.99249566,0.0014203865,0.0010112092,0.0019549252,0.0016644254,0.0
ERR719442,0.0014534498,0.99249566,0.0014203865,0.0010112092,0.0019549252,0.0016644254,0.0
ERR1385224,0.0014534498,0.99249566,0.0014203865,0.0010112092,0.0019549252,0.0016644254,0.0
SRR7448602,0.0062026246,0.031781163,0.017357565,0.009558788,0.8813975,0.053702373,0.0
SRR1618345,0.0014534498,0.99249566,0.0014203865,0.0010112092,0.0019549252,0.0016644254,0.0
SRR6394203,0.0014534498,0.99249566,0.0014203865,0.0010112092,0.0019549252,0.0016644254,0.0
SRR2144020,0.0014534498,0.99249566,0.0014203865,0.0010112092,0.0019549252,0.0016644254,0.0
ERR1987733,0.0014426204,0.99236524,0.00142138,0.0010245866,0.002032389,0.0017138432,0.0
ERR1109583,0.0014535091,0.99249554,0.0014202972,0.0010112685,0.0019549844,0.0016643658,0.0
SRR6264285,0.0014534498,0.99249566,0.0014203865,0.0010112092,0.0019549252,0.0016644254,0.0
ERR441386,0.0014534498,0.99249566,0.0014203865,0.0010112092,0.0019549252,0.0016644254,0.0
ERR1384587,0.0014534498,0.99249566,0.0014203865,0.0010112092,0.0019549252,0.0016644254,0.0
SRR5688083,0.0014534498,0.99249566,0.0014203865,0.0010112092,0.0019549252,0.0016644254,0.0
ERR1310720,0.0014534498,0.99249566,0.0014203865,0.0010112092,0.0019549252,0.0016644254,0.0
ERR2739102,0.0014534498,0.99249566,0.0014203865,0.0010112092,0.0019549252,0.0016644254,0.0
ERR107002,0.001452619,0.99248594,0.0014204468,0.0010122198,0.00196063,0.0016680803,0.0
ERR498473,0.0014534498,0.99249566,0.0014203865,0.0010112092,0.0019549252,0.0016644254,0.0
ERR1913230,0.0014534498,0.99249566,0.0014203865,0.0010112092,0.0019549252,0.0016644254,0.0
