,root:baby_birth,root:baby_fourthmonth,root:mother,Unknown
ERR525712,0.18129903,0.26907456,0.5496264,0.0
ERR525831,0.3084452,0.40363494,0.056962937,0.23095691
ERR525835,0.12608927,0.38161457,0.49229613,0.0
ERR525859,0.21377428,0.2337617,0.552464,0.0
ERR525875,0.21761593,0.22682026,0.5555638,0.0
ERR525895,0.13304567,0.57581705,0.13662162,0.15451562
ERR525901,0.12839675,0.37180904,0.49979427,0.0
ERR525919,0.13830891,0.56993127,0.13232455,0.15943527
ERR526063,0.31243217,0.39111733,0.054620832,0.24182963
ERR525704,0.15128747,0.55271727,0.121718675,0.17427659
ERR525777,0.1330469,0.57581896,0.13661972,0.15451443
ERR525793,0.32675648,0.3910005,0.05309221,0.22915077
ERR525802,0.13814372,0.5742223,0.13368267,0.15395129
ERR525857,0.14808425,0.57044894,0.12775093,0.15371591
ERR525933,0.14285332,0.5728804,0.13089493,0.15337133
ERR526037,0.13314003,0.575814,0.1365749,0.15447104
ERR526065,0.41418654,0.42525527,0.049452126,0.1111061
ERR525805,0.2400201,0.4514522,0.074774474,0.2337532
ERR525917,0.3674268,0.3853211,0.038885623,0.20836651
ERR525749,0.52289873,0.40340167,0.038704365,0.0349952
ERR525774,0.4979066,0.3608759,0.14121751,0.0
ERR525818,0.5419534,0.3525003,0.05140558,0.054140806
ERR525822,0.5423441,0.3323998,0.12525605,0.0
ERR525914,0.5253159,0.36494237,0.10974168,0.0
ERR525966,0.5207895,0.3028027,0.09745598,0.078951836
ERR526042,0.55505776,0.38278264,0.03455034,0.02760923
ERR526066,0.5511921,0.3861617,0.03511995,0.0275262
ERR525814,0.52856225,0.30762073,0.16381703,0.0
ERR525938,0.38807145,0.36778206,0.034950763,0.20919573
