,root:baby_birth,root:baby_fourthmonth,root:mother,Unknown
ERR525692,0.540146,0.3436353,0.116218716,0.0
ERR525767,0.17816725,0.21685526,0.6049774,0.0
ERR525804,0.07575357,0.61320955,0.12985957,0.18117732
ERR525823,0.17816955,0.21685478,0.6049757,0.0
ERR525931,0.17816205,0.21686438,0.60497355,0.0
ERR526011,0.1457622,0.58314186,0.101644576,0.16945136
ERR526015,0.25135744,0.46127456,0.056714654,0.23065335
ERR526027,0.17816955,0.21685478,0.6049757,0.0
ERR526067,0.17816952,0.21685477,0.6049757,0.0
ERR525773,0.12431598,0.615319,0.118478805,0.14188623
ERR525797,0.12342116,0.6167444,0.11928931,0.14054513
ERR525833,0.12342116,0.6167444,0.11928931,0.14054513
ERR525853,0.12417573,0.6156741,0.118647635,0.14150256
ERR525861,0.12364718,0.61636615,0.11906782,0.14091885
ERR525891,0.12362361,0.6164711,0.119113326,0.14079195
ERR525905,0.12342116,0.6167444,0.11928931,0.14054513
ERR526065,0.15261081,0.5762805,0.09635112,0.1747576
ERR525946,0.17816944,0.2168548,0.60497576,0.0
ERR526021,0.48106846,0.442019,0.042104393,0.03480816
ERR525762,0.21092588,0.5116496,0.07097289,0.20645165
ERR525770,0.55069244,0.36922863,0.080078945,0.0
ERR525782,0.12342116,0.6167444,0.11928931,0.14054513
ERR525786,0.3065192,0.41137713,0.044373155,0.2377305
ERR525838,0.52702045,0.40563965,0.067339875,0.0
ERR525862,0.12483737,0.6144971,0.118014395,0.14265114
ERR525874,0.2521407,0.48888022,0.055098265,0.20388079
ERR525998,0.5812661,0.38261735,0.025798291,0.010318279
ERR525814,0.64873946,0.20358402,0.14767654,0.0
ERR526062,0.52327055,0.41107208,0.06565738,0.0
