,root:Host-associated:Human:Circulatory_system:Blood,root:Host-associated:Human:Digestive_system:Intestine,root:Host-associated:Human:Digestive_system:Large_intestine,root:Host-associated:Human:Digestive_system:Oral,root:Host-associated:Human:Lympathic_system:Lymph_nodes,root:Host-associated:Human:Reproductive_system:Female,root:Host-associated:Human:Reproductive_system:Vagina,root:Host-associated:Human:Respiratory_system:Nasopharyngeal,root:Host-associated:Human:Respiratory_system:Pulmonary_system,Unknown
ERR2538420,1.1437627e-05,0.00026887655,0.0052424967,0.0020560622,0.0009792447,0.0010453761,0.0011457801,0.0012421012,0.0011037588,0.98690486
SRR6408832,0.00016453862,8.6198306e-05,0.00072553754,0.99671185,5.2736108e-05,0.00018191338,0.00021237135,0.00023087859,3.2519998e-05,0.001601398
ERR719915,6.76457e-05,0.00016734004,0.99870163,0.000120568264,7.654987e-06,1.7389626e-05,6.586371e-05,0.000107872394,4.4171575e-06,0.00073963404
ERR1309914,6.764692e-05,0.00016734004,0.9987016,0.000120569646,7.655184e-06,1.7389826e-05,6.586471e-05,0.00010787271,4.4171825e-06,0.00073969364
SRR7449340,1.29767495e-05,0.00010802688,0.0016763789,0.0010016403,6.0989976e-05,6.8662914e-05,0.00021482201,0.9966468,0.00020973693,0.0
SRR6932116,1.1437627e-05,0.00026887655,0.0052424967,0.0020560622,0.0009792447,0.0010453761,0.0011457801,0.0012421012,0.0011037588,0.98690486
SRR921014,1.1437627e-05,0.00026887655,0.0052424967,0.0020560622,0.0009792447,0.0010453761,0.0011457801,0.0012421012,0.0011037588,0.98690486
SRR3095112,6.764583e-05,0.00016734004,0.99870163,0.00012056838,7.655009e-06,1.7389644e-05,6.5863765e-05,0.000107872394,4.4171575e-06,0.00073963404
SRR1618035,6.764563e-05,0.00016734004,0.99870163,0.000120568264,7.654987e-06,1.7389626e-05,6.586364e-05,0.00010787229,4.4171575e-06,0.00073963404
SRR5525175,0.00016453862,8.619789e-05,0.00072553754,0.99671173,5.2736006e-05,0.00018191338,0.00021237135,0.00023084879,3.252012e-05,0.0016015768
SRR6265266,6.816825e-05,0.00016748905,0.9987043,0.000121127225,7.735433e-06,1.7471095e-05,6.6288994e-05,0.000108019194,4.4288163e-06,0.0007349849
SRR6394200,0.00016453862,8.619798e-05,0.00072553754,0.99671173,5.2736057e-05,0.00018191338,0.00021234155,0.00023087859,3.252012e-05,0.0016015768
ERR1960706,1.1437627e-05,0.00026887655,0.0052424967,0.0020560622,0.0009792447,0.0010453761,0.0011457801,0.0012421012,0.0011037588,0.98690486
ERR209604,6.76457e-05,0.00016734004,0.99870163,0.0001205685,7.6549795e-06,1.7389626e-05,6.586364e-05,0.0001078725,4.417149e-06,0.00073963404
ERR1328435,0.0001173308,0.00025087595,0.99179435,0.00033140182,7.3967963e-06,2.372136e-05,8.187261e-05,0.00029173493,2.3326293e-06,0.007098973
SRR6028651,0.00023834656,0.00019940182,0.9988944,0.00025744646,4.2283755e-05,3.7369267e-05,0.00018876427,0.0001351296,6.782856e-06,0.0
SRR1922852,0.00016447902,8.61988e-05,0.00072559714,0.996711,5.2714335e-05,0.00018182397,0.00021228194,0.00023087859,3.2528125e-05,0.0016024113
SRR1949287,1.5454336e-05,0.00012462818,0.0015354656,0.0009098571,7.18112e-05,7.611556e-05,0.00022351019,0.9968027,0.00024045628,0.0
ERR3006024,6.765105e-05,0.00016734004,0.9987016,0.00012057401,7.655812e-06,1.7390455e-05,6.586804e-05,0.000107873835,4.4172752e-06,0.00073969364
ERR525885,6.764563e-05,0.00016734004,0.9987016,0.00012056815,7.6549795e-06,1.738961e-05,6.586358e-05,0.00010787229,4.4171575e-06,0.00073969364
ERR1109431,0.00016453862,8.619789e-05,0.00072553754,0.99671173,5.2736006e-05,0.00018191338,0.00021237135,0.00023084879,3.252012e-05,0.0016015768
SRR6265018,6.7646215e-05,0.00016742945,0.9987016,0.000120570105,7.6549795e-06,1.7389693e-05,6.586383e-05,0.000107873944,4.417115e-06,0.00073963404
SRR6931499,1.1437627e-05,0.00026887655,0.0052424967,0.0020560622,0.0009792447,0.0010453761,0.0011457801,0.0012421012,0.0011037588,0.98690486
SRR6932075,1.1437627e-05,0.00026887655,0.0052424967,0.0020560622,0.0009792447,0.0010453761,0.0011457801,0.0012421012,0.0011037588,0.98690486
ERR2247317,0.00027183234,0.00020289108,0.99880016,0.0002780293,5.065809e-05,4.0472903e-05,0.00021081604,0.0001379421,7.1110944e-06,0.0
SRR3053242,6.765112e-05,0.00016734004,0.9987017,0.00012057413,7.655819e-06,1.7390474e-05,6.58681e-05,0.000107873944,4.4172752e-06,0.00073957443
DRR030516,0.00016453862,8.619789e-05,0.00072553754,0.99671173,5.2736006e-05,0.00018191338,0.00021237135,0.00023084879,3.252012e-05,0.0016015768
ERR441985,4.1482712e-05,0.00013437867,0.0019137263,0.91996765,2.8597273e-05,6.292435e-05,9.725882e-06,0.020212531,0.00046148896,0.05716753
ERR2738588,0.0002720129,0.00020319036,0.9987984,0.0002791633,5.0527917e-05,4.0489773e-05,0.00021066848,0.00013853889,7.08508e-06,0.0
ERR579512,6.764563e-05,0.00016734004,0.9987016,0.00012056815,7.6549795e-06,1.738961e-05,6.586358e-05,0.00010787229,4.4171575e-06,0.00073969364
SRR5467622,0.00016453862,8.619789e-05,0.00072553754,0.99671173,5.2736006e-05,0.00018191338,0.00021237135,0.00023087859,3.252012e-05,0.0016015172
ERR1315391,7.880012e-05,0.00017097592,0.9987534,0.0001321733,9.416603e-06,1.907867e-05,7.4827134e-05,0.0001108493,4.6530995e-06,0.0006458163
ERR1384583,6.7646986e-05,0.00016742945,0.9987016,0.00012057068,7.655118e-06,1.7389826e-05,6.586459e-05,0.000107873835,4.41714e-06,0.00073963404
ERR867490,0.00012068653,0.00025618076,0.9909935,0.0003489256,7.3862434e-06,2.4101788e-05,8.279837e-05,0.00030690432,2.2583795e-06,0.007857263
SRR6054463,0.0034355223,0.002003312,0.9824954,0.0003129542,0.00023901463,0.00050237775,0.0010158122,0.00017267466,1.346505e-05,0.009809494
SRR2761288,0.00012271701,0.00026124716,0.9903734,0.00035852194,7.4554e-06,2.447793e-05,8.318413e-05,0.00032159686,2.235268e-06,0.008445144
ERR498900,6.7720895e-05,0.00016739964,0.998702,0.00012064878,7.666552e-06,1.7401373e-05,6.592491e-05,0.00010789349,4.4188428e-06,0.0007389188
ERR3040029,6.775352e-05,0.00016736984,0.9987021,0.000120683646,7.671569e-06,1.7406452e-05,6.595145e-05,0.00010790275,4.4195676e-06,0.0007387996
SRR2658806,6.764563e-05,0.00016734004,0.9987016,0.00012056815,7.6549795e-06,1.738961e-05,6.586364e-05,0.00010787229,4.4171575e-06,0.00073969364
