,root:baby_birth:cesarean_section,root:baby_birth:vaginal_delivery,root:baby_fourthmonth:cesarean_section,root:baby_fourthmonth:vaginal_delivery,Unknown
ERR525692,0.12366527,0.15434629,0.12624866,0.0580737,0.5376661
ERR525767,0.12474817,0.15743163,0.1265822,0.057673454,0.53356457
ERR525804,0.21642575,0.3591495,0.1480718,0.050148368,0.22620463
ERR525823,0.1236932,0.15574333,0.12644842,0.057991683,0.5361234
ERR525931,0.12226103,0.13720801,0.09723814,0.6432928,0.0
ERR526011,0.30083436,0.15475695,0.06621272,0.47819594,0.0
ERR526015,0.11953205,0.25728124,0.037131727,0.13070461,0.4553504
ERR526027,0.12366554,0.15434092,0.12625787,0.05807057,0.5376651
ERR526067,0.1237199,0.15455708,0.12637249,0.058025867,0.53732467
ERR525773,0.12225993,0.1372143,0.09724216,0.6432836,0.0
ERR525797,0.07001698,0.3513785,0.06947982,0.15013185,0.35899282
ERR525833,0.14485833,0.6414827,0.04141727,0.09049249,0.0817492
ERR525853,0.14164275,0.32649195,0.12455723,0.34457308,0.06273502
ERR525861,0.12366554,0.15434092,0.12625787,0.05807057,0.5376651
ERR525891,0.119517356,0.2573014,0.0371373,0.13070896,0.45533502
ERR525905,0.08369881,0.4942605,0.07541853,0.11720055,0.22942162
ERR526065,0.10940932,0.124514565,0.11124148,0.6548347,0.0
ERR525946,0.1233083,0.15735531,0.1223388,0.059528768,0.5374688
ERR526021,0.11991212,0.28248125,0.04718727,0.1120531,0.4383663
ERR525762,0.071181685,0.15388402,0.12534481,0.33433032,0.31525916
ERR525770,0.14485827,0.64148194,0.04141736,0.090492725,0.08174968
ERR525782,0.028003717,0.20725577,0.19686297,0.56787753,0.0
ERR525786,0.1245594,0.23708603,0.07330483,0.28679433,0.2782554
ERR525838,0.13244611,0.54514,0.055171996,0.17201409,0.09522772
ERR525862,0.12251586,0.49794486,0.038045794,0.11691314,0.22458035
ERR525874,0.12526819,0.62283486,0.04682222,0.118026584,0.08704817
ERR525998,0.116369784,0.24916565,0.075776815,0.30313957,0.25554818
ERR525814,0.14485833,0.6414827,0.04141727,0.09049249,0.0817492
ERR526062,0.14724776,0.36189294,0.07901898,0.23016778,0.18167257
