,root:baby_birth:cesarean_section,root:baby_birth:vaginal_delivery,root:baby_fourthmonth:cesarean_section,root:baby_fourthmonth:vaginal_delivery,Unknown
ERR525716,0.061788768,0.15527487,0.062517166,0.05412376,0.6662954
ERR525733,0.06074208,0.1723578,0.07256445,0.0528042,0.64153147
ERR525779,0.061652005,0.1537348,0.06370106,0.053233624,0.6676785
ERR525815,0.061652035,0.15372461,0.0636909,0.05323249,0.66769993
ERR525851,0.06501606,0.16225335,0.065057755,0.050575167,0.6570977
ERR525907,0.08076668,0.20117375,0.07045147,0.040971577,0.6066365
ERR526003,0.06361452,0.1755692,0.04877284,0.067225784,0.64481765
ERR526067,0.062196106,0.1550979,0.06390679,0.05278352,0.6660157
ERR526083,0.069946796,0.2531255,0.021107554,0.13049585,0.52532434
ERR525714,0.124695666,0.06177783,0.1216045,0.691922,0.0
ERR525721,0.08257583,0.23433787,0.07350877,0.04307893,0.56649864
ERR525727,0.16907059,0.08249249,0.12293521,0.6255017,0.0
ERR525739,0.06940833,0.25254065,0.021314442,0.13257694,0.52415967
ERR525869,0.16937646,0.085467055,0.053987496,0.691169,0.0
ERR525941,0.11792919,0.20324454,0.17223278,0.10476625,0.40182722
ERR526041,0.1308417,0.056346085,0.0760045,0.73680776,0.0
ERR526045,0.08096668,0.29670203,0.08087742,0.05291301,0.4885409
ERR525690,0.055884004,0.2932244,0.13810745,0.051160067,0.4616241
ERR526029,0.065094024,0.08668527,0.31782964,0.17231387,0.35807717
ERR525715,0.07000929,0.25366628,0.020976722,0.13126749,0.5240802
ERR525874,0.24150696,0.6832943,0.036320135,0.038878635,0.0
ERR525878,0.06826818,0.16947973,0.21349424,0.14985886,0.39889896
ERR525888,0.079882294,0.090699434,0.06416148,0.35803536,0.40722144
ERR525906,0.26855296,0.6541914,0.038593303,0.038662404,0.0
ERR525998,0.072542906,0.26047856,0.051096797,0.18347833,0.43240345
ERR526006,0.07088554,0.2574249,0.021513999,0.1295642,0.5206114
ERR526066,0.0986571,0.47041792,0.08554667,0.034388125,0.3109902
ERR525958,0.10838026,0.27938625,0.03826773,0.035909176,0.5380566
ERR526030,0.24280126,0.60591716,0.13118376,0.020097766,0.0
