,root:Diseases,root:Health,root:Infections,Unknown
SRR6474251,0.112807855,0.8832507,0.003941426,0.0
ERR719203,0.024809897,0.9674791,0.007380903,0.00033009052
SRR6264896,0.011959932,0.9835155,0.0045244833,0.0
SRR5866347,0.89904976,0.090380594,0.010569655,0.0
SRR5813405,0.020380132,0.9746991,0.0049207644,0.0
SRR6264938,0.011910096,0.9834909,0.0045989743,0.0
SRR5757992,0.038538367,0.81607974,0.11381924,0.031562686
SRR5429070,0.8221599,0.057742625,0.083874255,0.036223292
SRR5757823,0.030142529,0.20008199,0.76977545,0.0
ERR719104,0.012621893,0.9827957,0.0045823287,0.0
ERR209574,0.81660813,0.17369534,0.009696491,0.0
SRR7507327,0.014223168,0.9811575,0.004619364,0.0
SRR6724422,0.9308081,0.043843057,0.02534875,0.0
SRR6281237,0.1547861,0.83305395,0.012159878,0.0
SRR7507462,0.011937469,0.98350364,0.004558989,0.0
ERR719820,0.019350719,0.9731297,0.0075196736,0.0
SRR5650024,0.24830453,0.74540037,0.006295068,0.0
SRR5648774,0.014094608,0.98079574,0.0051096436,0.0
SRR7507650,0.1174393,0.8153773,0.03615564,0.031027734
SRR6928787,0.012334379,0.9825145,0.00515105,0.0
SRR6265446,0.01195861,0.9835014,0.004540138,0.0
ERR720164,0.012142814,0.98329407,0.0045631505,0.0
SRR5802314,0.037138566,0.9591505,0.0037109542,0.0
SRR5610106,0.012371119,0.982934,0.0046948576,0.0
SRR5761698,0.012254271,0.9831803,0.004565453,0.0
SRR5579092,0.0120276995,0.9834347,0.00453765,0.0
SRR5866365,0.018838797,0.9758265,0.005334754,0.0
SRR6264710,0.67551374,0.045177694,0.27930856,0.0
SRR5203046,0.011960486,0.9835145,0.004525084,0.0
SRR5758152,0.019477831,0.22248287,0.7580393,0.0
SRR5578987,0.011988521,0.9834654,0.0045460174,0.0
ERR209802,0.7889748,0.20192772,0.009097512,0.0
SRR5649008,0.011960233,0.98351526,0.004524574,0.0
SRR5796722,0.015694806,0.9777241,0.006581081,0.0
SRR5866275,0.89247644,0.09523571,0.012287901,0.0
SRR5218386,0.74381775,0.2448766,0.011305667,0.0
SRR5578933,0.032394737,0.84327626,0.065983236,0.058345735
SRR5203195,0.011962996,0.9835111,0.0045260107,0.0
SRR6264249,0.011959423,0.9835156,0.0045249676,0.0
SRR5983281,0.012463092,0.98291934,0.0046176156,0.0
ERR011119,0.36918432,0.62563354,0.0051821577,0.0
SRR5648785,0.011964055,0.9835108,0.0045251953,0.0
SRR5648927,0.011960233,0.98351526,0.0045245443,0.0
SRR5803767,0.012637568,0.98228025,0.0050821574,0.0
ERR209116,0.029208641,0.96473706,0.0060543516,0.0
SRR5377207,0.0213077,0.97448313,0.004209123,0.0
SRR6928743,0.018880624,0.9745831,0.006536203,0.0
ERR209824,0.01493459,0.9804136,0.0046518855,0.0
SRR3400443,0.011959932,0.9835155,0.0045244833,0.0
SRR2918731,0.011959932,0.9835155,0.0045244833,0.0
SRR5602160,0.012140059,0.9832915,0.004568351,0.0
ERR719931,0.012146261,0.98330194,0.004551774,0.0
SRR5761708,0.011959932,0.9835155,0.0045244833,0.0
SRR5649095,0.013188827,0.9822342,0.004576912,0.0
SRR5580568,0.012002558,0.9833054,0.0046921354,0.0
SRR5580550,0.013515037,0.98028874,0.0061963014,0.0
SRR1766059,0.011585534,0.9832221,0.0051922975,0.0
SRR5866489,0.38070396,0.6150971,0.004198928,0.0
SRR7507495,0.9249807,0.05964217,0.015377161,0.0
SRR5802279,0.012021993,0.98344296,0.004534965,0.0
ERR209546,0.82510823,0.16483511,0.010056633,0.0
DRR067938,0.032559514,0.1501106,0.8173298,0.0
SRR6264068,0.2813182,0.7010136,0.013896316,0.0037719011
ERR719727,0.06850311,0.910792,0.009807169,0.010897696
SRR5202888,0.011952244,0.98350376,0.004544011,0.0
SRR5758025,0.0133968135,0.9814574,0.0051457467,0.0
SRR5577144,0.117386445,0.8788363,0.003777292,0.0
ERR719569,0.01260481,0.9826381,0.0047570043,0.0
SRR6182550,0.011964591,0.9833487,0.004686638,0.0
SRR6357160,0.011921364,0.98348826,0.0045903334,0.0
SRR5218313,0.919168,0.06827076,0.012561269,0.0
SRR5078919,0.011959932,0.9835155,0.0045244833,0.0
ERR525813,0.012619703,0.9828647,0.004515577,0.0
SRR7507474,0.011962075,0.98350424,0.0045336634,0.0
SRR6724376,0.8925237,0.09463681,0.01283957,0.0
SRR6265241,0.012247145,0.96918035,0.010624409,0.007948101
SRR5983323,0.33753237,0.64828175,0.014185842,0.0
SRR5610101,0.011960082,0.9835154,0.0045245136,0.0
SRR5203404,0.011971874,0.9835005,0.0045276047,0.0
ERR209447,0.11509345,0.8736136,0.011293003,0.0
SRR5629123,0.013282197,0.98171574,0.0050020767,0.0
SRR1693254,0.036096063,0.9589527,0.004951149,0.0
ERR525790,0.079135716,0.86149436,0.059369974,0.0
SRR5548968,0.94074255,0.04077567,0.0184818,0.0
SRR5602351,0.019514835,0.9750785,0.005406663,0.0
SRR5078823,0.011972887,0.9834907,0.0045363577,0.0
SRR5648923,0.021311618,0.97253656,0.00615179,0.0
SRR1687041,0.31943434,0.6505264,0.01739952,0.012639761
SRR5399292,0.0123043405,0.98300266,0.004692998,0.0
SRR5548520,0.9369447,0.028687447,0.022682667,0.011685133
SRR5818477,0.0122095235,0.9832243,0.004566177,0.0
SRR5399195,0.013612241,0.95597756,0.027000815,0.0034093857
SRR5947812,0.018959206,0.9767033,0.00433755,0.0
SRR7507717,0.027689435,0.9676654,0.0046451697,0.0
SRR5429352,0.9327249,0.05210364,0.015171506,0.0
SRR5399205,0.011959932,0.9835155,0.0045244833,0.0
SRR5757780,0.036765385,0.1316068,0.8316278,0.0
ERR719544,0.029978188,0.9627286,0.007293148,0.0
SRR5078728,0.011959932,0.9835155,0.0045244833,0.0
SRR6357131,0.011959879,0.98351556,0.0045244857,0.0
SRR6264088,0.015311714,0.9800721,0.0046162894,0.0
SRR5580474,0.013064358,0.9819482,0.0049874205,0.0
SRR5983349,0.042183787,0.20517644,0.7526398,0.0
ERR209901,0.014733501,0.9805939,0.0046724607,0.0
ERR719264,0.015170549,0.98003596,0.004793408,0.0
SRR6424505,0.039548364,0.12339793,0.83705366,0.0
SRR5203217,0.01198188,0.98341066,0.00460748,0.0
ERR209816,0.7994728,0.18995216,0.010575109,0.0
SRR5758043,0.013296509,0.98189646,0.0048070345,0.0
SRR1693228,0.92527384,0.061677165,0.013049048,0.0
SRR5399187,0.017067038,0.97753763,0.005395366,0.0
ERR209625,0.9200892,0.06675757,0.013153201,0.0
SRR6264798,0.012209892,0.98326063,0.004529446,0.0
SRR6928774,0.011959932,0.9835155,0.0045244833,0.0
SRR5579064,0.015279545,0.9791138,0.0056066522,0.0
SRR7507335,0.011965508,0.9835038,0.0045307865,0.0
SRR6928750,0.012486041,0.98287404,0.00463998,0.0
SRR5648871,0.011961547,0.9835125,0.004525953,0.0
SRR064872,0.60049,0.009057207,0.39045283,0.0
ERR525706,0.011961446,0.9834926,0.0045458637,0.0
SRR5866321,0.012118171,0.98320043,0.0046814755,0.0
SRR5763465,0.011926996,0.98343974,0.004633344,0.0
SRR1693218,0.81978947,0.16521385,0.014996757,0.0
SRR7507591,0.023973223,0.9712988,0.004728046,0.0
SRR6263976,0.012193607,0.9830404,0.0047659636,0.0
SRR1693350,0.05487788,0.94081914,0.004302992,0.0
SRR6331166,0.0119620245,0.9835119,0.004526132,0.0
ERR719730,0.08102971,0.8938365,0.010417342,0.014716446
SRR5431399,0.8722046,0.11765328,0.010142045,0.0
SRR053019,0.9278979,0.05623768,0.015864488,0.0
ERR209709,0.8183155,0.16317774,0.018506806,0.0
SRR5610051,0.011585605,0.98131734,0.0070971143,0.0
SRR5548601,0.9375975,0.04599923,0.016403243,0.0
ERR719754,0.012008912,0.9834504,0.0045406236,0.0
ERR011143,0.012415987,0.98305357,0.004530377,0.0
SRR6265143,0.03044638,0.92640543,0.021540016,0.021608114
ERR720213,0.02783964,0.9659248,0.0062355674,0.0
ERR719575,0.016059613,0.9787042,0.005236142,0.0
SRR5079123,0.011959932,0.9835155,0.0045244833,0.0
SRR5934960,0.012263945,0.9822935,0.0054425374,0.0
SRR6424655,0.039548364,0.12339793,0.83705366,0.0
SRR5813189,0.01208526,0.9833671,0.0045476817,0.0
SRR7507622,0.016367776,0.9783965,0.005235768,0.0
SRR1687065,0.6305618,0.25385165,0.048516393,0.06707013
SRR5803614,0.31044134,0.681671,0.007887596,0.0
SRR5549076,0.9203283,0.066398375,0.013273415,0.0
SRR5866547,0.5927123,0.39841694,0.008870763,0.0
ERR719905,0.011981282,0.98349226,0.004526439,0.0
SRR5203403,0.011934368,0.9834931,0.004572457,0.0
ERR525841,0.011959932,0.9835155,0.0045244833,0.0
SRR5610071,0.012177566,0.9832536,0.004568879,0.0
SRR6182446,0.01203969,0.9833993,0.0045610657,0.0
SRR7423288,0.014169407,0.98106563,0.004765024,0.0
SRR5629121,0.9152543,0.06740171,0.017343903,0.0
SRR6182354,0.005532821,0.9213917,0.07307535,0.0
SRR5079071,0.011959932,0.9835155,0.0045244833,0.0
ERR011350,0.012729733,0.9825966,0.00467369,0.0
ERR209152,0.014453684,0.98098963,0.004556646,0.0
SRR5757771,0.08129221,0.63863087,0.06991297,0.21016395
SRR5548755,0.91962594,0.06645187,0.0139221335,0.0
SRR5761761,0.012719093,0.5615939,0.425687,0.0
ERR719135,0.011990558,0.98347896,0.004530481,0.0
SRR5202882,0.013076143,0.9822699,0.004653908,0.0
ERR209358,0.026023027,0.9685962,0.0053808624,0.0
SRR6474280,0.93396145,0.050650362,0.015388167,0.0
SRR6264521,0.027623892,0.9591876,0.012102723,0.0010857582
SRR6185241,0.01370943,0.98142976,0.0048607825,0.0
SRR7507341,0.0120538995,0.98341453,0.00453161,0.0
SRR5711561,0.58011883,0.40544313,0.01443803,0.0
SRR5549008,0.9132017,0.07386257,0.012935809,0.0
SRR064903,0.92414296,0.062771946,0.013085113,0.0
SRR5548429,0.021298802,0.9740656,0.004635673,0.0
SRR5078591,0.9372493,0.04700585,0.015744949,0.0
SRR5761766,0.01196619,0.98350835,0.004525551,0.0
SRR5020909,0.8533209,0.13359179,0.01308734,0.0
SRR5802394,0.013180995,0.98227006,0.004548998,0.0
SRR6185178,0.012179668,0.9832473,0.004573033,0.0
ERR209367,0.020717323,0.97436196,0.0049208025,0.0
SRR6901829,0.9296846,0.05687663,0.01343871,0.0
