,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic diseases:Irritable Bowel Syndrome,"root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Inflammatory Bowel Diseases:Colitis, Ulcerative",root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Inflammatory Bowel Diseases:Crohn Disease,Unknown
SRR6474251,0.035557926,0.23246425,0.016215265,0.71576256
ERR719203,0.015960217,0.009248912,0.038996667,0.93579423
SRR6264896,0.002445519,0.008726776,0.005033672,0.98379403
SRR5866347,0.0016838312,0.3522825,0.010623455,0.6354102
SRR5813405,0.019783974,0.009869128,0.09845108,0.8718958
SRR6264938,0.00255996,0.008482665,0.005161643,0.98379576
SRR5757992,0.0031876564,0.0340842,0.014258146,0.94847
SRR5429070,0.0030383766,0.008505076,0.0061531365,0.9823034
SRR5757823,0.0040531754,0.014832407,0.020774841,0.96033955
ERR719104,0.0059268177,0.008226514,0.017858177,0.9679885
ERR209574,0.007992387,0.68784547,0.008091658,0.29607046
SRR7507327,0.04396963,0.009596884,0.023451269,0.9229822
SRR6724422,0.0027511716,0.010034382,0.0055942237,0.9816202
SRR6281237,0.008425981,0.0218575,0.0105885565,0.95912796
SRR7507462,0.0038722456,0.008183539,0.0048603117,0.9830839
ERR719820,0.006128937,0.011387289,0.023650825,0.958833
SRR5650024,0.0026999414,0.038869947,0.014610946,0.94381917
SRR5648774,0.0044831336,0.058656603,0.014787942,0.9220723
SRR7507650,0.0053093433,0.016084284,0.02079916,0.9578072
SRR6928787,0.011940688,0.011236489,0.01935181,0.957471
SRR6265446,0.0024716854,0.008496344,0.004881829,0.9841502
ERR720164,0.002431482,0.011109531,0.0055230856,0.98093593
SRR5802314,0.003487885,0.09951338,0.008199483,0.88879925
SRR5610106,0.0034255385,0.015322119,0.014613003,0.96663934
SRR5761698,0.007746637,0.0059415996,0.016619772,0.969692
SRR5579092,0.0024765432,0.008623153,0.0049687326,0.98393154
SRR5866365,0.002020061,0.05390826,0.006328702,0.93774295
SRR6264710,0.011617899,0.033491522,0.10440904,0.8504815
SRR5203046,0.0024943352,0.008483887,0.0049007535,0.984121
SRR5758152,0.0016382337,0.05265698,0.0093514025,0.9363534
SRR5578987,0.008611113,0.0058849156,0.01532799,0.970176
ERR209802,0.01069355,0.84608567,0.015612751,0.12760806
SRR5649008,0.0024818778,0.009137809,0.0049746633,0.98340565
SRR5796722,0.0027266443,0.008856684,0.005675167,0.9827415
SRR5866275,0.0048042834,0.08730301,0.02072525,0.88716745
SRR5218386,0.0021754503,0.03203559,0.012824625,0.9529643
SRR5578933,0.0032294393,0.008816719,0.0074431896,0.98051065
SRR5203195,0.0025658906,0.010671496,0.006099403,0.9806632
SRR6264249,0.0024798214,0.008553714,0.004952073,0.9840144
SRR5983281,0.0024954379,0.015098304,0.013138026,0.9692682
ERR011119,0.0025570095,0.13548252,0.04891172,0.8130487
SRR5648785,0.0024712384,0.0085039735,0.0048817396,0.984143
SRR5648927,0.0024727285,0.009023905,0.005083829,0.98341954
SRR5803767,0.0059572756,0.007346779,0.011058122,0.9756378
ERR209116,0.007392764,0.03075397,0.088522434,0.87333083
SRR5377207,0.0056270957,0.019787014,0.024885178,0.9497007
SRR6928743,0.0024716556,0.00849691,0.004881948,0.98414946
ERR209824,0.0022218525,0.018892229,0.006523043,0.9723629
SRR3400443,0.002471596,0.0084962845,0.004881829,0.9841503
SRR2918731,0.002491504,0.0095336735,0.004842639,0.9831322
SRR5602160,0.124184996,0.0037463605,0.0055598617,0.8665088
ERR719931,0.0083682835,0.00853765,0.030760646,0.95233345
SRR5761708,0.0024716258,0.0084962845,0.00488171,0.9841504
SRR5649095,0.009238213,0.0120770335,0.02020514,0.95847964
SRR5580568,0.005625248,0.007116586,0.012613356,0.9746448
SRR5580550,0.0029338896,0.021799356,0.013774365,0.9614924
SRR1766059,0.0026291013,0.00839752,0.0052337646,0.9837396
SRR5866489,0.009445399,0.088986754,0.04383996,0.8577279
SRR7507495,0.0036991537,0.03174883,0.005641043,0.95891094
SRR5802279,0.00349316,0.0096948445,0.00779894,0.9790131
ERR209546,0.009186834,0.76867545,0.005154252,0.21698344
DRR067938,0.002471596,0.0084962845,0.004881829,0.9841503
SRR6264068,0.045547456,0.12676245,0.057436883,0.7702532
ERR719727,0.020126104,0.010388702,0.07633293,0.89315224
SRR5202888,0.002630502,0.0083963275,0.0052593052,0.98371387
SRR5758025,0.002471596,0.008496374,0.004881829,0.9841502
SRR5577144,0.007907867,0.0072185993,0.0041903853,0.98068315
ERR719569,0.002678603,0.010620892,0.007249862,0.97945064
SRR6182550,0.002760172,0.01773414,0.012933284,0.9665724
SRR6357160,0.0024991632,0.0084575415,0.0049318075,0.9841115
SRR5218313,0.0038828552,0.5618964,0.010811806,0.423409
SRR5078919,0.0024846196,0.008497775,0.004921317,0.9840963
ERR525813,0.0034664273,0.029103965,0.04091218,0.9265174
SRR7507474,0.0044220984,0.008058935,0.0052278936,0.9822911
SRR6724376,0.00257048,0.008474469,0.004862368,0.9840927
SRR6265241,0.0024508536,0.008710414,0.0049923956,0.9838463
SRR5983323,0.0043210983,0.031667978,0.035916388,0.9280945
SRR5610101,0.0024715662,0.008497596,0.0048822463,0.9841486
SRR5203404,0.0013976097,0.06346023,0.019927561,0.9152146
ERR209447,0.0032684505,0.15231821,0.0102748275,0.8341385
SRR5629123,0.0025345683,0.010128945,0.005521804,0.9818147
SRR1693254,0.09933525,0.012669355,0.017374247,0.87062114
ERR525790,0.0024507344,0.008669138,0.0050046146,0.9838755
SRR5548968,0.006027013,0.93338597,0.016207308,0.04437971
SRR5602351,0.0077463984,0.025352687,0.007194668,0.95970625
SRR5078823,0.004391253,0.024407178,0.04480955,0.926392
SRR5648923,0.010499865,0.16753992,0.030938655,0.7910216
SRR1687041,0.007594019,0.23999095,0.00618577,0.7462293
SRR5399292,0.0026083589,0.008572936,0.005365014,0.9834537
SRR5548520,0.005056411,0.945106,0.015320569,0.03451705
SRR5818477,0.004050702,0.008366913,0.0091614425,0.978421
SRR5399195,0.013211101,0.024779499,0.06538272,0.8966267
SRR5947812,0.02081713,0.005387634,0.017090738,0.9567045
SRR7507717,0.0037395954,0.026017368,0.013803631,0.9564394
SRR5429352,0.0025027096,0.008498579,0.0049627125,0.98403597
SRR5399205,0.002471596,0.0084962845,0.004881829,0.9841503
SRR5757780,0.0024516284,0.008944482,0.0049494207,0.9836545
ERR719544,0.0128239095,0.009802669,0.065359026,0.91201437
SRR5078728,0.002471596,0.0084962845,0.004881829,0.9841503
SRR6357131,0.007857889,0.02238214,0.041678727,0.9280813
SRR6264088,0.0051630735,0.010248661,0.01740864,0.96717966
SRR5580474,0.009014785,0.007781118,0.026436448,0.9567677
SRR5983349,0.0012797117,0.080494195,0.023909539,0.89431655
ERR209901,0.0054000914,0.012032807,0.01532343,0.9672437
ERR719264,0.0069156587,0.020032048,0.053349912,0.9197024
SRR6424505,0.002471596,0.0084962845,0.004881829,0.9841503
SRR5203217,0.0062000155,0.009152591,0.012977749,0.9716697
ERR209816,0.0025347173,0.60220784,0.03155616,0.36370134
SRR5758043,0.0023064017,0.0110071,0.00663507,0.9800514
SRR1693228,0.92617494,0.025614785,0.0482103,0.0
SRR5399187,0.0024711788,0.008505553,0.004882008,0.98414123
ERR209625,0.005656868,0.75922847,0.014661074,0.22045362
SRR6264798,0.0025494695,0.009067237,0.0056851804,0.9826981
SRR6928774,0.002471596,0.0084962845,0.004881829,0.9841503
SRR5579064,0.0031849742,0.019107193,0.0049939156,0.97271395
SRR7507335,0.0029981732,0.008138776,0.005759001,0.98310405
SRR6928750,0.0042032897,0.007133037,0.008582443,0.9800812
SRR5648871,0.0024778247,0.008490741,0.0048962533,0.98413515
SRR064872,0.0016996264,0.024246335,0.016209006,0.95784503
ERR525706,0.002388537,0.011908442,0.0064720213,0.979231
SRR5866321,0.002598405,0.008392483,0.0051412284,0.9838679
SRR5763465,0.0024618804,0.008806288,0.0049126744,0.9838191
SRR1693218,0.7130896,0.0647977,0.041585773,0.18052697
SRR7507591,0.009601116,0.011269748,0.0065727234,0.9725564
SRR6263976,0.0060825646,0.008352488,0.01570353,0.9698614
SRR1693350,0.0051434934,0.032476604,0.0059351325,0.95644474
SRR6331166,0.002638489,0.008750528,0.0057581663,0.9828528
ERR719730,0.017289251,0.011489034,0.076182485,0.8950392
SRR5431399,0.0026878715,0.079340965,0.0072250366,0.9107461
SRR053019,0.050851732,0.022953928,0.2663781,0.65981627
ERR209709,0.0032975376,0.04630381,0.051039934,0.89935875
SRR5610051,0.0025638938,0.008657008,0.0053114593,0.98346764
SRR5548601,0.008738816,0.9187199,0.054379612,0.018161654
ERR719754,0.013958067,0.004844427,0.026242554,0.954955
ERR011143,0.0028040707,0.011915714,0.007466674,0.97781354
SRR6265143,0.0025491714,0.008393586,0.0050282776,0.98402894
ERR720213,0.017021328,0.0077831745,0.06050268,0.9146928
ERR719575,0.0077537894,0.012659758,0.038901895,0.94068456
SRR5079123,0.0019220412,0.016080111,0.010722935,0.9712749
SRR5934960,0.003821224,0.012569815,0.013499767,0.9701092
SRR6424655,0.002471596,0.0084962845,0.004881829,0.9841503
SRR5813189,0.0029761493,0.008300036,0.006178558,0.98254526
SRR7507622,0.0035743117,0.008835822,0.0086537,0.9789362
SRR1687065,0.93264717,0.02374799,0.04360491,0.0
SRR5803614,0.005988419,0.05212462,0.011833906,0.93005306
SRR5549076,0.0073523223,0.94617486,0.04436797,0.0021048188
SRR5866547,0.0025117695,0.5697175,0.010532081,0.41723865
ERR719905,0.0034846067,0.0087251365,0.008368939,0.9794213
SRR5203403,0.002839446,0.008590639,0.0061956644,0.98237425
ERR525841,0.002471596,0.0084962845,0.004881829,0.9841503
