,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases,root:Diseases:Digestive System Diseases:Liver Diseases:Liver Cirrhosis,root:Diseases:Hemic and Lymphatic Diseases:Hematologic Diseases:Hematologic Neoplasms,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections:Gram-Positive Bacterial Infections,Unknown
SRR5079185,0.047860324,0.024519563,0.010086387,0.0075747073,0.909959
ERR719961,0.04681906,0.024959594,0.010405362,0.007966518,0.90984946
SRR5602141,0.047068626,0.024817348,0.010274291,0.007779181,0.9100605
SRR5758078,0.053595364,0.025152564,0.011431098,0.011122435,0.89869857
SRR5396543,0.045802772,0.025155693,0.0105342865,0.00808683,0.9104204
SRR6264428,0.37571314,0.028434068,0.018930078,0.046198547,0.53072417
SRR5757789,0.69554794,0.037562996,0.031103402,0.081545085,0.15424061
SRR1693210,0.7159653,0.03536704,0.026586562,0.07510641,0.1469748
ERR719991,0.037557185,0.02821955,0.012804776,0.010845363,0.9105731
SRR6901831,0.0401102,0.054044604,0.039391726,0.009786904,0.85666656
SRR5602124,0.047131896,0.024764508,0.010249168,0.007755637,0.9100988
ERR011301,0.047839016,0.024535865,0.010095835,0.007584244,0.909945
SRR5429314,0.01191777,0.22200093,0.30687803,0.094910204,0.36429304
SRR5803702,0.04773131,0.024559945,0.010114133,0.0076055825,0.909989
SRR7464883,0.04614964,0.025104165,0.010479361,0.008009464,0.91025734
SRR5343112,0.04781854,0.02453208,0.010095149,0.0075846016,0.9099696
SRR5548968,0.7164351,0.035309523,0.026669472,0.075499624,0.14608622
SRR6724585,0.16903314,0.34646678,0.1571047,0.009618372,0.31777692
SRR6264690,0.04713878,0.02475369,0.0102497935,0.0077572465,0.91010046
SRR5649114,0.047859997,0.024519682,0.010086447,0.0075747967,0.9099591
ERR719063,0.045426875,0.02600205,0.011291504,0.0091661215,0.9081135
ERR525890,0.3590989,0.03295791,0.013439864,0.024552256,0.56995106
SRR1687172,0.70710576,0.037085384,0.028740138,0.07663232,0.15043634
SRR6424577,0.061601896,0.098585084,0.36897132,0.4708417,0.0
ERR011175,0.04676342,0.02489078,0.01033631,0.00785163,0.91015786
ERR719042,0.04448989,0.026126474,0.011317253,0.009056598,0.9090098
SRR5983467,0.54604435,0.039593637,0.0148714185,0.030240357,0.36925024
ERR209516,0.04533267,0.025345236,0.010672063,0.008247644,0.9104024
SRR1763694,0.06949347,0.033189803,0.011138737,0.006933987,0.87924397
ERR695626,0.71640134,0.035313517,0.026664317,0.075473696,0.14614713
SRR7507319,0.047716618,0.024563074,0.010116547,0.0076088607,0.9099949
SRR6264781,0.042113513,0.026414812,0.01144433,0.009159714,0.91086763
SRR5649098,0.047849596,0.024523437,0.010088891,0.0075773895,0.9099607
ERR209775,0.63883275,0.037914008,0.019245118,0.046393663,0.2576145
SRR5602041,0.047860324,0.024519563,0.010086387,0.0075747073,0.909959
SRR5202969,0.034115016,0.02982831,0.01407671,0.012478828,0.90950114
SRR5078771,0.05150804,0.024078578,0.010044932,0.008099794,0.90626866
SRR961724,0.1156784,0.035577893,0.010947496,0.008181751,0.82961446
ERR1809149,0.047702044,0.024656326,0.010153443,0.0076332986,0.9098549
ERR209203,0.042929918,0.026302665,0.011345744,0.009002119,0.9104196
SRR5866388,0.04215172,0.02644366,0.011455804,0.009175628,0.91077316
SRR5802190,0.047860295,0.024519652,0.010086387,0.007574767,0.9099589
ERR209599,0.69716084,0.03837666,0.023119003,0.058931857,0.18241167
ERR011143,0.045094103,0.025404572,0.010705233,0.008281112,0.91051495
SRR5203131,0.046586215,0.024908334,0.010359168,0.007885277,0.91026103
SRR5813346,0.039735317,0.027463943,0.012206167,0.010016948,0.91057765
SRR5078585,0.047860324,0.024519563,0.010086387,0.0075747073,0.909959
SRR6182552,0.047860563,0.024519682,0.010086387,0.007574767,0.9099586
SRR5648884,0.04782349,0.024535894,0.010095924,0.007584691,0.90996003
SRR5580439,0.043837905,0.025908649,0.011041939,0.008656442,0.91055506
SRR5610083,0.04048872,0.028548688,0.012531102,0.01024431,0.90818715
SRR5757910,0.19508582,0.032038447,0.073077485,0.6997983,0.0
SRR5983318,0.13835418,0.018883824,0.05783266,0.44150758,0.34342176
SRR3313078,0.09235644,0.025899917,0.010368705,0.01079765,0.8605773
ERR209746,0.07477063,0.025186926,0.010244995,0.009747446,0.88005
ERR719789,0.047754586,0.024551928,0.010109007,0.0075997114,0.90998477
SRR6185283,0.047860205,0.024519622,0.010086387,0.007574767,0.909959
ERR720058,0.044586718,0.025568634,0.010824084,0.008420527,0.91060007
SRR5203235,0.04770115,0.024567097,0.010119647,0.007612407,0.9099997
SRR5578936,0.14484608,0.043584198,0.13740468,0.6371754,0.03698969
SRR5629107,0.14348331,0.044466943,0.01169911,0.0072197914,0.7931309
