,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic diseases:Irritable Bowel Syndrome,"root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Inflammatory Bowel Diseases:Colitis, Ulcerative",root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Inflammatory Bowel Diseases:Crohn Disease,Unknown
SRR5079185,0.038070172,0.018261164,0.009167016,0.93450165
ERR719961,0.037910134,0.021419734,0.011105835,0.9295643
SRR5602141,0.038075447,0.018272221,0.009187371,0.93446493
SRR5758078,0.038575858,0.025463969,0.014068186,0.921892
SRR5396543,0.03807047,0.018261254,0.009167105,0.9345012
SRR6264428,0.04282123,0.09802222,0.025641292,0.8335153
SRR5757789,0.057233423,0.1823861,0.01762104,0.74275947
SRR1693210,0.53611547,0.20397097,0.043818146,0.21609545
ERR719991,0.038126796,0.018321604,0.009244323,0.9343073
SRR6901831,0.038070768,0.018261403,0.009167165,0.9345007
SRR5602124,0.038071036,0.018262029,0.009168416,0.93449855
ERR011301,0.03553599,0.022874087,0.011051953,0.93053794
SRR5429314,0.03807351,0.018262684,0.009173393,0.93449044
SRR5803702,0.03807062,0.018261671,0.009167761,0.9345
SRR7464883,0.0381006,0.018289387,0.0091992915,0.9344107
SRR5343112,0.038070172,0.018261164,0.009167016,0.93450165
SRR5548968,0.052565604,0.733387,0.15641057,0.057636857
SRR6724585,0.03807026,0.018261224,0.009167016,0.9345015
SRR6264690,0.037183046,0.020496845,0.010632157,0.93168795
SRR5649114,0.038070172,0.018261164,0.009167016,0.93450165
ERR719063,0.03679782,0.026936531,0.015738457,0.9205272
ERR525890,0.03580782,0.059802353,0.041151285,0.8632386
SRR1687172,0.04498282,0.60673755,0.11667639,0.2316032
SRR6424577,0.038066447,0.018265635,0.009169221,0.93449867
ERR011175,0.03812933,0.018318236,0.009237826,0.9343146
ERR719042,0.037269115,0.0249362,0.014199376,0.9235953
SRR5983467,0.051049918,0.20416948,0.41435394,0.3304267
ERR209516,0.03752157,0.020610094,0.01099053,0.9308778
SRR1763694,0.07514924,0.03424585,0.011058688,0.8795462
ERR695626,0.022231668,0.08288291,0.034157723,0.86072767
SRR7507319,0.038070202,0.018261135,0.009167105,0.9345015
SRR6264781,0.038084567,0.018270701,0.009177983,0.9344667
SRR5649098,0.038070142,0.018261164,0.009166956,0.93450177
ERR209775,0.041936845,0.5911495,0.11615214,0.2507615
SRR5602041,0.038070172,0.018261164,0.009167016,0.93450165
SRR5202969,0.038120896,0.018295377,0.009203434,0.9343803
SRR5078771,0.020995826,0.07456997,0.03258574,0.87184846
SRR961724,0.034298748,0.033123583,0.014423013,0.91815466
ERR1809149,0.0380781,0.018293738,0.009205878,0.93442225
ERR209203,0.038466692,0.020409942,0.010817885,0.9303055
SRR5866388,0.03808421,0.018291056,0.009221166,0.93440354
SRR5802190,0.038070053,0.018261194,0.009167016,0.93450177
ERR209599,0.037492484,0.5872581,0.07087922,0.30437016
ERR011143,0.03810957,0.018324435,0.009229839,0.9343362
SRR5203131,0.03807035,0.018261343,0.009167314,0.934501
SRR5813346,0.03837794,0.01891467,0.009757727,0.93294966
SRR5078585,0.03803724,0.018299758,0.009184241,0.93447876
SRR6182552,0.038070172,0.018261164,0.009167016,0.93450165
SRR5648884,0.03807378,0.0182679,0.009180486,0.9344778
SRR5580439,0.038111895,0.01828885,0.0091967285,0.9344025
SRR5610083,0.038964987,0.018952817,0.009798437,0.93228376
SRR5757910,0.038954765,0.018849641,0.009794742,0.9324008
SRR5983318,0.027265966,0.0755015,0.05566615,0.8415664
