,root:Host-associated:Human,Unknown
ERR2003118,0.99353427,0.006465733
SRR6028414,0.99353397,0.006466031
ERR531824,0.99353427,0.006465733
ERR1310275,0.9935297,0.0064703226
SRR6394209,0.9935342,0.0064657927
SRR994946,0.99353427,0.006465733
SRR6239875,0.9935341,0.006465912
SRR346841,0.9935068,0.006493211
ERR1971288,0.993534,0.0064659715
SRR3931535,0.99353427,0.006465733
DRR044018,0.99353397,0.006466031
ERR498467,0.99353427,0.006465733
SRR1617951,0.99353427,0.006465733
SRR1743129,0.99352026,0.00647974
ERR1255787,0.9935335,0.006466508
ERR866498,0.99353427,0.006465733
SRR6038411,0.9935336,0.0064663887
SRR2010438,0.99353427,0.006465733
ERR1384795,0.99353427,0.006465733
ERR2003145,0.99353427,0.006465733
ERR561605,0.9935338,0.00646621
SRR6931188,0.99353427,0.006465733
ERR1311514,0.99353427,0.006465733
ERR499479,0.9935343,0.0064656734
SRR6148439,0.9935343,0.0064656734
SRR6414359,0.99353427,0.006465733
SRR2154918,0.99353427,0.006465733
SRR5178146,0.99353427,0.006465733
ERR719606,0.99353427,0.006465733
SRR5869641,0.99353427,0.006465733
ERR499054,0.9935342,0.0064657927
ERR1311293,0.99353427,0.006465733
ERR560673,0.99353415,0.0064658523
DRR030526,0.9935342,0.0064657927
ERR1960791,0.99353427,0.006465733
SRR6264187,0.99353427,0.006465733
SRR7448846,0.9935204,0.006479621
SRR5467646,0.9935329,0.006467104
ERR1960774,0.99353427,0.006465733
ERR2739291,0.9934795,0.0065205097
SRR1950725,0.99353427,0.006465733
SRR3095146,0.99353427,0.006465733
SRR7453416,0.99353427,0.006465733
SRR5467650,0.9935342,0.0064657927
ERR1314225,0.99353427,0.006465733
ERR531657,0.9935338,0.00646621
ERR2531901,0.99347806,0.00652194
ERR1328379,0.99353427,0.006465733
SRR3030578,0.9935342,0.0064657927
ERR451075,0.99353427,0.006465733
DRR018392,0.9935303,0.0064697266
SRR6394064,0.9935341,0.006465912
ERR2198023,0.99353427,0.006465733
DRR060277,0.9935341,0.006465912
ERR525729,0.99353427,0.006465733
SRR2980297,0.99353427,0.006465733
SRR6028658,0.9935342,0.0064657927
SRR1461279,0.99353397,0.006466031
SRR7453331,0.99353427,0.006465733
SRR1949352,0.99353427,0.006465733
SRR5724719,0.99347186,0.006528139
ERR2784739,0.99353087,0.0064691305
ERR2261911,0.993525,0.006474972
SRR6932347,0.99353427,0.006465733
ERR2739282,0.99352485,0.0064751506
SRR6931668,0.99353427,0.006465733
ERR2738957,0.9935329,0.006467104
ERR441671,0.99353427,0.006465733
ERR1309986,0.99353427,0.006465733
SRR6932526,0.99353427,0.006465733
SRR995149,0.99353427,0.006465733
ERR981214,0.9935342,0.0064657927
ERR365898,0.99353427,0.006465733
ERR1382899,0.9935343,0.0064656734
SRR1633177,0.99353427,0.006465733
DRR047923,0.9935341,0.006465912
ERR441185,0.9935343,0.0064656734
ERR1384654,0.99353385,0.0064661503
ERR441989,0.99353427,0.006465733
