,root:Host-associated,Unknown
ERR499961,0.99996674,3.325939e-05
SRR6411718,0.99996674,3.325939e-05
ERR1811131,0.99996674,3.325939e-05
SRR1583584,0.99996674,3.325939e-05
SRR7449297,0.99996674,3.325939e-05
ERR1310299,0.99996674,3.325939e-05
SRR1145342,0.99996674,3.325939e-05
SRR6931830,0.9999666,3.33786e-05
ERR1313476,0.99996674,3.325939e-05
SRR5196301,0.99996674,3.325939e-05
ERR1331878,0.99996674,3.325939e-05
ERR498816,0.99996674,3.325939e-05
ERR2739135,0.99996674,3.325939e-05
ERR441703,0.99996674,3.325939e-05
ERR209778,0.99996674,3.325939e-05
SRR5870044,0.99996674,3.325939e-05
ERR1712495,0.99996674,3.325939e-05
ERR1311006,0.99996674,3.325939e-05
ERR2511926,0.99996674,3.325939e-05
SRR6412038,0.99996674,3.325939e-05
DRR043888,0.99996674,3.325939e-05
SRR6038497,0.99996674,3.325939e-05
ERR441309,0.99996674,3.325939e-05
ERR1913153,0.9999668,3.3199787e-05
SRR8485004,0.9999668,3.3199787e-05
SRR1948839,0.99996674,3.325939e-05
ERR522326,0.99996674,3.325939e-05
SRR3362197,0.99996674,3.325939e-05
DRR048073,0.99996674,3.325939e-05
SRR5868826,0.99996674,3.325939e-05
DRR047362,0.9999666,3.33786e-05
SRR6038374,0.99996674,3.325939e-05
ERR1310508,0.99996674,3.325939e-05
ERR522546,0.99996674,3.325939e-05
ERR1314699,0.99996674,3.325939e-05
ERR1398144,0.99996674,3.325939e-05
SRR3951080,0.99996674,3.325939e-05
DRR047536,0.99996674,3.325939e-05
SRR7453759,0.99996674,3.325939e-05
DRR048002,0.99996674,3.325939e-05
ERR500248,0.99996674,3.325939e-05
ERR443132,0.99996674,3.325939e-05
SRR5942086,0.99996674,3.325939e-05
ERR522472,0.99996674,3.325939e-05
SRR3503320,0.99996674,3.325939e-05
ERR209726,0.99996674,3.325939e-05
ERR209538,0.99996674,3.325939e-05
ERR2730402,0.99996674,3.325939e-05
SRR6451831,0.99996674,3.325939e-05
ERR1314867,0.99996674,3.325939e-05
ERR867473,0.99996674,3.325939e-05
SRR6054426,0.99996674,3.325939e-05
ERR441732,0.99996674,3.325939e-05
SRR2086825,0.99996674,3.325939e-05
SRR1623066,0.99996674,3.325939e-05
SRR6393940,0.99996674,3.325939e-05
ERR719854,0.99996674,3.325939e-05
ERR522331,0.99996674,3.325939e-05
SRR5699336,0.99996674,3.325939e-05
ERR1309720,0.99996674,3.325939e-05
SRR3095096,0.9999668,3.3199787e-05
ERR139249,0.99996674,3.325939e-05
ERR1315185,0.99996674,3.325939e-05
SRR6264874,0.99996674,3.325939e-05
ERR209442,0.99996674,3.325939e-05
SRR1822432,0.99996674,3.325939e-05
SRR2154913,0.99996674,3.325939e-05
ERR368873,0.99996674,3.325939e-05
ERR441131,0.99996674,3.325939e-05
SRR7448916,0.99996674,3.325939e-05
ERR441461,0.99996674,3.325939e-05
ERR441900,0.99996674,3.325939e-05
ERR2511407,0.99996674,3.325939e-05
SRR3647832,0.99996674,3.325939e-05
ERR883566,0.99996674,3.325939e-05
ERR1310770,0.99996674,3.325939e-05
SRR7453321,0.9999666,3.33786e-05
ERR522532,0.9999666,3.33786e-05
SRR6264576,0.99996674,3.325939e-05
SRR5467753,0.99996674,3.325939e-05
SRR6408904,0.99996674,3.325939e-05
ERR866515,0.99996674,3.325939e-05
SRR6444204,0.9999668,3.3199787e-05
DRR042799,0.99996674,3.325939e-05
ERR1760137,0.99996674,3.325939e-05
ERR1384238,0.99996674,3.325939e-05
SRR1461690,0.99996674,3.325939e-05
ERR499786,0.99996674,3.325939e-05
SRR996263,0.99996674,3.325939e-05
DRR041937,0.99996674,3.325939e-05
SRR6408795,0.99996674,3.325939e-05
SRR5467932,0.99996674,3.325939e-05
ERR500190,0.99996674,3.325939e-05
SRR3465624,0.99996674,3.325939e-05
SRR5165622,0.99996674,3.325939e-05
SRR3362269,0.99996674,3.325939e-05
SRR6444860,0.99996674,3.325939e-05
ERR498485,0.9999668,3.3199787e-05
ERR1398101,0.99996674,3.325939e-05
ERR2511357,0.99996674,3.325939e-05
SRR6309260,0.99996674,3.325939e-05
SRR5189398,0.99996674,3.325939e-05
ERR139431,0.99996674,3.325939e-05
ERR1109466,0.99996674,3.325939e-05
DRR060272,0.99996674,3.325939e-05
SRR346832,0.99996674,3.325939e-05
SRR1631040,0.99996674,3.325939e-05
ERR494417,0.99996674,3.325939e-05
