,root:Host-associated:Human:Circulatory_system,root:Host-associated:Human:Digestive_system,root:Host-associated:Human:Lympathic_system,root:Host-associated:Human:Reproductive_system,root:Host-associated:Human:Respiratory_system,root:Host-associated:Human:Skin,Unknown
ERR499961,0.0011720959,0.9928272,0.0010870714,0.00097203127,0.0017502982,0.00219132,0.0
SRR6411718,0.0011720959,0.9928272,0.0010870714,0.00097203127,0.0017502982,0.00219132,0.0
ERR1811131,0.0011720959,0.9928272,0.0010870714,0.00097203127,0.0017502982,0.00219132,0.0
SRR1583584,0.0011720959,0.9928272,0.0010870714,0.00097203127,0.0017502982,0.00219132,0.0
SRR7449297,0.005628773,0.029722502,0.014729064,0.018260943,0.87973994,0.05191875,0.0
ERR1310299,0.0011720959,0.9928272,0.0010870714,0.00097203127,0.0017502982,0.00219132,0.0
SRR1145342,0.0011721852,0.9928272,0.0010870418,0.0009720314,0.0017503578,0.002191261,0.0
SRR6931830,0.0011720959,0.9928272,0.0010870714,0.00097203127,0.0017502982,0.00219132,0.0
ERR1313476,0.0011720959,0.9928272,0.0010870714,0.00097203127,0.0017502982,0.00219132,0.0
SRR5196301,0.0011720959,0.9928272,0.0010870714,0.00097203127,0.0017502982,0.00219132,0.0
ERR1331878,0.0011720959,0.9928272,0.0010870714,0.00097203127,0.0017502982,0.00219132,0.0
ERR498816,0.0011720959,0.9928272,0.0010870714,0.00097203127,0.0017502982,0.00219132,0.0
ERR2739135,0.0011720959,0.9928272,0.0010870714,0.00097203127,0.0017502982,0.00219132,0.0
ERR441703,0.0011720959,0.9928272,0.0010870714,0.00097203127,0.0017502982,0.00219132,0.0
ERR209778,0.0011720959,0.9928272,0.0010870714,0.00097203127,0.0017502982,0.00219132,0.0
SRR5870044,0.006947225,0.065577246,0.009295323,0.0059310095,0.002591454,0.9096578,0.0
ERR1712495,0.00089238584,0.97971535,0.0011243437,0.0020419967,0.008921508,0.007304469,0.0
ERR1311006,0.0011720959,0.9928272,0.0010870714,0.00097203127,0.0017502982,0.00219132,0.0
ERR2511926,0.0011720959,0.9928272,0.0010870714,0.00097203127,0.0017502982,0.00219132,0.0
SRR6412038,0.0011720959,0.9928272,0.0010870714,0.00097203127,0.0017502982,0.00219132,0.0
DRR043888,0.0011720959,0.9928272,0.0010870714,0.00097203127,0.0017502982,0.00219132,0.0
SRR6038497,0.0011720959,0.9928272,0.0010870714,0.00097203127,0.0017502982,0.00219132,0.0
ERR441309,0.0011720959,0.9928272,0.0010870714,0.00097203127,0.0017502982,0.00219132,0.0
ERR1913153,0.0011720959,0.9928272,0.0010870714,0.00097203127,0.0017502982,0.00219132,0.0
SRR8485004,0.0011720959,0.9928272,0.0010870714,0.00097203127,0.0017502982,0.00219132,0.0
SRR1948839,0.005628773,0.029722502,0.014729064,0.018260943,0.87973994,0.05191875,0.0
ERR522326,0.0011720959,0.9928272,0.0010870714,0.00097203127,0.0017502982,0.00219132,0.0
SRR3362197,0.0011720959,0.9928272,0.0010870714,0.00097203127,0.0017502982,0.00219132,0.0
DRR048073,0.0011720959,0.9928271,0.0010871309,0.00097206095,0.0017502982,0.00219132,0.0
SRR5868826,0.006947225,0.065577246,0.009295323,0.0059310095,0.002591454,0.9096578,0.0
DRR047362,0.0011720959,0.9928272,0.0010870714,0.00097203127,0.0017502982,0.00219132,0.0
SRR6038374,0.0011720959,0.9928272,0.0010870714,0.00097203127,0.0017502982,0.00219132,0.0
ERR1310508,0.0011720959,0.9928272,0.0010870714,0.00097203127,0.0017502982,0.00219132,0.0
