,root:Host-associated:Human,Unknown
ERR499961,0.9945491,0.0054509044
SRR6411718,0.9945491,0.0054509044
ERR1811131,0.9945491,0.0054509044
SRR1583584,0.9945489,0.005451083
SRR7449297,0.9945491,0.0054509044
ERR1310299,0.9945484,0.0054516196
SRR1145342,0.99452806,0.005471945
SRR6931830,0.99454874,0.005451262
ERR1313476,0.99454784,0.005452156
SRR5196301,0.9945491,0.0054509044
ERR1331878,0.9945491,0.0054509044
ERR498816,0.9945491,0.0054509044
ERR2739135,0.9945491,0.0054509044
ERR441703,0.99454916,0.0054508448
ERR209778,0.9945491,0.0054509044
SRR5870044,0.9945491,0.0054509044
ERR1712495,0.99449766,0.005502343
ERR1311006,0.9945491,0.0054509044
ERR2511926,0.9945491,0.0054509044
SRR6412038,0.99454904,0.005450964
DRR043888,0.99454904,0.005450964
SRR6038497,0.9945491,0.0054509044
ERR441309,0.99454856,0.005451441
ERR1913153,0.9945491,0.0054509044
SRR8485004,0.9945485,0.0054515004
SRR1948839,0.9945491,0.0054509044
ERR522326,0.9945491,0.0054509044
SRR3362197,0.9945491,0.0054509044
DRR048073,0.99454427,0.0054557323
SRR5868826,0.9945491,0.0054509044
DRR047362,0.99454796,0.005452037
SRR6038374,0.9945483,0.005451679
ERR1310508,0.9945491,0.0054509044
ERR522546,0.9945491,0.0054509044
ERR1314699,0.9945491,0.0054509044
ERR1398144,0.9945489,0.005451083
SRR3951080,0.9945491,0.0054509044
DRR047536,0.9945487,0.0054513216
SRR7453759,0.9945491,0.0054509044
DRR048002,0.9945488,0.0054512024
ERR500248,0.9945469,0.0054531097
ERR443132,0.9945491,0.0054509044
SRR5942086,0.9945482,0.0054517984
ERR522472,0.9945091,0.005490899
SRR3503320,0.9945491,0.0054509044
ERR209726,0.9945491,0.0054509044
ERR209538,0.9945491,0.0054509044
ERR2730402,0.9945491,0.0054509044
SRR6451831,0.9945491,0.0054509044
ERR1314867,0.9945491,0.0054509044
ERR867473,0.9945476,0.0054523945
SRR6054426,0.9945491,0.0054509044
ERR441732,0.9945491,0.0054509044
SRR2086825,0.9945491,0.0054509044
SRR1623066,0.9945491,0.0054509044
SRR6393940,0.9945491,0.0054509044
ERR719854,0.9945491,0.0054509044
ERR522331,0.9945491,0.0054509044
SRR5699336,0.9945491,0.0054509044
ERR1309720,0.9945491,0.0054509044
