,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases,root:Diseases:Digestive System Diseases:Liver Diseases:Liver Cirrhosis,root:Diseases:Hemic and Lymphatic Diseases:Hematologic Diseases:Hematologic Neoplasms,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections:Gram-Positive Bacterial Infections,Unknown
SRR5429226,0.018457115,0.1021103,0.5281208,0.2193402,0.1319716
SRR5548347,0.7806158,0.024815679,0.026623428,0.04344514,0.12449992
SRR5078789,0.04047227,0.016489089,0.006063938,0.005892515,0.9310822
SRR5637777,0.04047227,0.016489089,0.006063938,0.005892515,0.9310822
SRR051715,0.7888525,0.025737047,0.026904345,0.04272282,0.115783274
SRR961790,0.040979058,0.016610801,0.0060797036,0.00588122,0.93044925
SRR5549011,0.7914092,0.025614262,0.027220368,0.043337643,0.11241853
ERR525995,0.30203828,0.013699323,0.0069517493,0.023219109,0.65409154
SRR5343194,0.101133436,0.015134394,0.0068454444,0.010816008,0.86607075
SRR5761712,0.78541255,0.026173294,0.027539402,0.04289499,0.117979765
SRR6724520,0.21503538,0.5883575,0.16952147,0.027085671,0.0
SRR6331198,0.040472418,0.016490728,0.006065011,0.0058927834,0.93107903
SRR7507646,0.040133446,0.016579628,0.0061238706,0.0059818327,0.9311812
SRR6182532,0.040314704,0.01652798,0.0060893595,0.0059315264,0.9311364
SRR5757906,0.13520153,0.029345624,0.080773644,0.7546792,0.0
SRR6265561,0.040471107,0.016489327,0.006064087,0.0058927834,0.9310827
SRR5202839,0.04047227,0.016489089,0.006063938,0.005892515,0.9310822
SRR1766081,0.040384352,0.016511887,0.0060792565,0.005916059,0.9311085
SRR5202912,0.77752507,0.026168555,0.026941568,0.042103767,0.12726104
SRR5758090,0.06287837,0.039079607,0.09123501,0.7401942,0.06661284
SRR1008768,0.7913661,0.025642335,0.027261317,0.04336074,0.11236954
SRR6264714,0.04018545,0.0165734,0.00614205,0.006015539,0.93108356
SRR5580452,0.040460587,0.01649201,0.0060658157,0.0058954656,0.9310861
SRR5648997,0.040471762,0.016489238,0.006063938,0.0058926344,0.9310824
SRR6182360,0.09813881,0.27887097,0.09368518,0.007878721,0.5214263
SRR5548686,0.79126304,0.025653988,0.02727741,0.043362945,0.11244261
SRR1765993,0.075917214,0.019865394,0.007169485,0.006874889,0.890173
ERR209579,0.78740144,0.025446683,0.02703607,0.043179035,0.1169368
ERR209481,0.043018907,0.016624331,0.006107092,0.0060307384,0.92821896
SRR5983392,0.20026857,0.026872575,0.007905871,0.008297205,0.7566558
SRR5758025,0.06328589,0.039031714,0.09122577,0.7411231,0.065333545
SRR5648773,0.040058494,0.0165928,0.0061325133,0.0060020983,0.9312141
SRR5983278,0.088320196,0.02338478,0.006733805,0.00592798,0.87563324
SRR6724436,0.20488976,0.59159577,0.17391668,0.029597685,0.0
SRR6724560,0.19580646,0.59484583,0.1776037,0.031744055,0.0
ERR719740,0.08838394,0.017445147,0.006780863,0.008573651,0.87881637
ERR505100,0.7692253,0.024927825,0.025544196,0.041787893,0.13851488
SRR5548426,0.046528846,0.018159986,0.006235242,0.0056677163,0.9234082
SRR5202936,0.04047191,0.016489208,0.006063968,0.0058926046,0.9310823
