,root:Diseases,root:Health,root:Infections,Unknown
SRR5429226,0.81973433,0.118500285,0.061765283,0.0
SRR5548347,0.8360642,0.11691436,0.04702141,0.0
SRR5078789,0.022338301,0.95535815,0.014102042,0.0082015395
SRR5637777,0.022338301,0.95535815,0.014102042,0.0082015395
SRR051715,0.84089637,0.1105463,0.048557326,0.0
SRR961790,0.022649527,0.95474494,0.014241636,0.008363903
SRR5549011,0.84649193,0.106697775,0.046810407,0.0
ERR525995,0.34211454,0.6499619,0.007923644,0.0
SRR5343194,0.027149469,0.9481633,0.014578044,0.010109246
SRR5761712,0.8410106,0.108057864,0.05093161,0.0
SRR6724520,0.84648997,0.10669734,0.046812627,0.0
SRR6331198,0.022341073,0.95535254,0.014103025,0.008203387
SRR7507646,0.022859514,0.9542141,0.0144445,0.00848186
SRR6182532,0.02241078,0.95519185,0.014156818,0.008240581
SRR5757906,0.11060241,0.35107905,0.5383186,0.0
SRR6265561,0.022349298,0.9553316,0.014109999,0.008209109
SRR5202839,0.02233836,0.9553579,0.0141020715,0.008201599
SRR1766081,0.022420168,0.95517623,0.014149129,0.008254468
SRR5202912,0.83751696,0.11218971,0.05029334,0.0
SRR5758090,0.1097527,0.3518165,0.5384308,0.0
SRR1008768,0.84641784,0.106686026,0.046896264,0.0
SRR6264714,0.024679482,0.95064497,0.015495598,0.00917995
SRR5580452,0.022368073,0.95528734,0.014123529,0.00822103
SRR5648997,0.022361428,0.95530283,0.014118791,0.008216977
SRR6182360,0.3860745,0.53450847,0.07941704,0.0
SRR5548686,0.846344,0.10667391,0.046982065,0.0
SRR1765993,0.03522867,0.934593,0.015974343,0.014203966
ERR209579,0.84192383,0.11067539,0.047400802,0.0
ERR209481,0.0232203,0.953894,0.0142710805,0.0086146
SRR5983392,0.36200637,0.62466323,0.013330539,0.0
SRR5758025,0.07864913,0.39665246,0.52469844,0.0
SRR5648773,0.022556216,0.9548701,0.014237285,0.008336425
SRR5983278,0.28099105,0.69401443,0.024994502,0.0
SRR6724436,0.8464848,0.10669542,0.046819855,0.0
SRR6724560,0.8464081,0.10670716,0.046884697,0.0
ERR719740,0.08213097,0.88915646,0.014715433,0.013997138
ERR505100,0.77067417,0.19641505,0.032910816,0.0
SRR5548426,0.10926649,0.8046902,0.046860576,0.039182782
SRR5202936,0.02233842,0.9553578,0.014102131,0.008201718
ERR720068,0.02241543,0.95518196,0.014151692,0.008250952
SRR5649116,0.022341013,0.95535135,0.014104068,0.008203566
ERR525972,0.12305677,0.8437568,0.019535393,0.013651013
SRR5649083,0.027420491,0.945019,0.016522497,0.011037946
SRR5078708,0.022338301,0.95535815,0.014102042,0.0082015395
SRR6182381,0.023502797,0.95303607,0.014986724,0.00847435
ERR695632,0.023451537,0.9530779,0.014508992,0.008961558
SRR7507337,0.02233836,0.95535797,0.0141020715,0.008201599
SRR5548693,0.8458468,0.10704982,0.047103398,0.0
SRR051686,0.8452081,0.10753683,0.047255054,0.0
SRR5343090,0.02233845,0.95535773,0.014102161,0.008201659
ERR719243,0.023420036,0.9537437,0.014115691,0.008720577
SRR5548032,0.84649175,0.10669766,0.046810564,0.0
SRR6424580,0.10975333,0.35181588,0.53843075,0.0
SRR5429353,0.84649193,0.106697775,0.046810407,0.0
ERR719216,0.023906678,0.952685,0.014193416,0.009214878
SRR6265091,0.087424606,0.7187935,0.06962201,0.12415981
ERR209223,0.024207383,0.95164907,0.014627188,0.009516358
ERR209474,0.022777975,0.95442635,0.014305264,0.008490443
SRR6876227,0.0536108,0.91957366,0.016439945,0.010375619
SRR5648946,0.023023546,0.95387506,0.0144818425,0.008619547
SRR5548411,0.8464918,0.10669768,0.04681043,0.0
SRR6185220,0.02233848,0.9553579,0.014101982,0.008201599
ERR321078,0.022626698,0.9547392,0.014244676,0.008389413
SRR7507318,0.0227229,0.9545593,0.014404386,0.008313417
ERR719217,0.023541152,0.95326304,0.014204621,0.008991182
ERR720195,0.022341967,0.9553492,0.014104694,0.0082041025
SRR6265651,0.022342443,0.955348,0.014105052,0.00820446
SRR961835,0.16186576,0.31513628,0.5229979,0.0
SRR5637774,0.022338301,0.95535815,0.014102042,0.0082015395
SRR5813186,0.022705466,0.95469046,0.01416263,0.008441448
ERR719255,0.02353388,0.9532739,0.01422444,0.008967757
SRR6928744,0.022338301,0.95535815,0.014102042,0.0082015395
SRR6265426,0.022338301,0.95535815,0.014102042,0.0082015395
ERR209479,0.03883469,0.93217766,0.015861422,0.013126254
SRR6331145,0.06483942,0.8439113,0.05023268,0.04101658
SRR5813259,0.023615718,0.9527997,0.014496118,0.009088516
SRR6182467,0.025336176,0.95084465,0.016712427,0.007106781
SRR5602234,0.13006616,0.43012357,0.43981028,0.0
SRR5803696,0.022830844,0.9543442,0.014487475,0.008337498
SRR5399530,0.022338301,0.95535815,0.014102042,0.0082015395
SRR5649073,0.02235645,0.9553163,0.014113754,0.00821352
SRR6264189,0.13798177,0.33323783,0.52878034,0.0
SRR5203248,0.022356898,0.9553138,0.014115959,0.008213401
SRR6182431,0.02233836,0.9553579,0.0141020715,0.008201599
SRR5651464,0.022338301,0.95535815,0.014102042,0.0082015395
SRR5609991,0.022645801,0.9546707,0.0143046975,0.008378804
SRR6357161,0.022338301,0.95535815,0.014102042,0.0082015395
SRR5428889,0.84649193,0.106697775,0.046810407,0.0
SRR5079029,0.022338301,0.95535815,0.014102042,0.0082015395
SRR5078832,0.022338301,0.95535815,0.014102042,0.0082015395
SRR5761664,0.31259745,0.62029135,0.06434628,0.0027649403
SRR5548733,0.84649193,0.106697775,0.046810407,0.0
SRR1766010,0.02247107,0.95505345,0.01419574,0.008279741
SRR5602264,0.022377342,0.9552666,0.014129102,0.008226931
ERR719855,0.02240479,0.9552078,0.014142811,0.008244574
SRR6264354,0.022338301,0.95535815,0.014102042,0.0082015395
SRR6424694,0.1097527,0.3518165,0.5384308,0.0
SRR5947824,0.73153305,0.24286059,0.025606375,0.0
ERR719866,0.022413671,0.9551882,0.014148027,0.008250117
ERR526019,0.02240786,0.9552728,0.014106661,0.008212686
ERR321443,0.04390043,0.9248029,0.0146408975,0.016655803
SRR5578987,0.022675782,0.954625,0.01435414,0.008345127
SRR6265150,0.022338301,0.95535815,0.014102042,0.0082015395
SRR5079119,0.022565633,0.9548551,0.014234006,0.008345306
ERR209172,0.022509962,0.9549999,0.014175892,0.008314252
SRR6901799,0.02249208,0.9550762,0.014132082,0.008299649
SRR2914210,0.022338301,0.95535815,0.014102042,0.0082015395
SRR5431392,0.022371233,0.95527995,0.014126062,0.008222759
SRR5649169,0.022338301,0.95535815,0.014102042,0.0082015395
SRR5577153,0.84649193,0.106697775,0.046810407,0.0
SRR5866418,0.02242285,0.95516306,0.014159083,0.008255005
SRR6724406,0.84642375,0.10668043,0.0468958,0.0
ERR719857,0.022460788,0.9550847,0.01417467,0.0082798
SRR5548541,0.84646356,0.106713496,0.046822842,0.0
SRR5431255,0.022340298,0.95535314,0.014103472,0.008203089
SRR5758165,0.02290517,0.9541962,0.014412016,0.0084866285
ERR720074,0.022482157,0.95504135,0.014182419,0.0082941055
SRR6264072,0.022338301,0.95535815,0.014102042,0.0082015395
SRR6424677,0.1097527,0.3518165,0.5384308,0.0
ERR209728,0.026563346,0.9488135,0.014443219,0.010179937
SRR6264781,0.022365779,0.9552938,0.014120817,0.0082196
SRR5802234,0.4509698,0.46943057,0.079599604,0.0
SRR6724378,0.84649193,0.106697775,0.046810407,0.0
SRR5078766,0.022338301,0.95535815,0.014102042,0.0082015395
SRR2142209,0.45434916,0.4345334,0.033723623,0.07739389
SRR5796802,0.23536162,0.29157677,0.47306153,0.0
SRR6724552,0.022338301,0.95535815,0.014102042,0.0082015395
SRR6724557,0.84634215,0.10667472,0.046983052,0.0
SRR6182348,0.02247566,0.9550479,0.014188409,0.008288026
SRR6264897,0.022338301,0.95535815,0.014102042,0.0082015395
SRR5079211,0.022338301,0.95535815,0.014102042,0.0082015395
SRR5078668,0.022338301,0.95535815,0.014102042,0.0082015395
ERR719737,0.043538243,0.92815065,0.014478773,0.013832331
SRR5802289,0.022444278,0.955114,0.0141792,0.008262515
SRR5802392,0.022339344,0.9553555,0.014102817,0.008202314
SRR5796813,0.84649193,0.106697775,0.046810407,0.0
SRR6330921,0.022340596,0.9553524,0.014103711,0.008203268
SRR5610129,0.022348195,0.9553343,0.014109284,0.008208275
