,root:Engineered,root:Environmental,root:Host-associated
ERR1398136,0.001045857,0.0006848234,0.9982693
SRR5831876,0.0010434461,0.000691439,0.9982651
SRR5699389,0.0010447896,0.0006727897,0.99828243
ERR1533779,0.0010558364,0.00067810906,0.99826604
SRR2658716,0.0010447856,0.000672791,0.99828243
ERR2762977,0.0010402947,0.00071052805,0.9982492
SRR3191020,0.0010444544,0.00067448424,0.9982811
ERR2001848,0.0010447861,0.00067278784,0.99828243
ERR107022,0.0010445837,0.0006740128,0.9982815
SRR6932118,0.001044587,0.00067418977,0.99828124
SRR6028646,0.0010449336,0.0006763958,0.99827874
SRR2053275,0.001928873,0.99320143,0.004869735
ERR1328373,0.0010471155,0.0007081697,0.99824476
SRR2006392,0.0010433622,0.00068420335,0.9982724
SRR7448718,0.0010447081,0.00067360624,0.9982817
SRR2145365,0.0010446949,0.00067383895,0.9982815
ERR1582947,0.001928873,0.99320143,0.004869735
SRR6056095,0.003227496,0.9845932,0.012179328
SRR1949206,0.001044529,0.0006754217,0.99828005
SRR4826711,0.0019291788,0.99319977,0.004870981
SRR5181372,0.001928873,0.99320143,0.004869735
ERR1594028,0.0019366785,0.9931746,0.0048887255
ERR466743,0.0010463723,0.0007271022,0.9982266
ERR1760111,0.0010437712,0.0006781315,0.99827814
SRR1067950,0.0019288965,0.9932012,0.004869836
SRR2054539,0.0019292578,0.99319965,0.00487099
ERR2001932,0.0010447861,0.0006727884,0.99828243
ERR1811130,0.0010455671,0.0006882357,0.9982663
ERR443460,0.0010444191,0.0006748958,0.99828076
SRR7902341,0.0023963875,0.9917058,0.0058978545
SRR5165786,0.0010446729,0.0006733549,0.99828196
ERR500122,0.0010450786,0.00067284855,0.9982821
SRR6663517,0.001928873,0.99320143,0.004869735
SRR873454,0.001047083,0.0006922049,0.9982607
SRR6398193,0.001928873,0.99320143,0.004869735
ERR1676992,0.0010447055,0.0006731945,0.9982821
SRR3884248,0.0019288758,0.99320143,0.004869744
SRR896571,0.0019289003,0.9932012,0.0048698406
SRR2761378,0.0010443263,0.00067516667,0.9982805
SRR504942,0.0010445612,0.0006741988,0.99828124
SRR4414513,0.0019296971,0.99319845,0.004871913
ERR3005996,0.0010450525,0.0006774201,0.99827754
SRR5586694,0.0010428174,0.0006939675,0.9982632
DRR048235,0.0010441289,0.00067747233,0.9982784
SRR994974,0.0010407317,0.00069358945,0.9982657
SRR2097579,0.001928873,0.99320143,0.004869735
ERR2738802,0.0010444708,0.0006754134,0.99828017
SRR5178881,0.001928873,0.99320143,0.004869735
SRR1426923,0.0010454564,0.0006843963,0.99827015
SRR944563,0.0063478188,0.95161325,0.04203895
ERR1726014,0.97016174,0.013553994,0.016284248
SRR3289539,0.001928873,0.99320143,0.004869735
SRR6451785,0.0010449332,0.0006752686,0.9982798
ERR923613,0.0010158358,0.000838262,0.99814594
SRR994866,0.0010443913,0.0006748289,0.99828076
SRR6932256,0.0010446594,0.00067343266,0.99828196
