,root:Diseases,root:Health,root:Infections,Unknown
ERR209762,0.02339232,0.951933,0.018280178,0.0063945055
SRR961737,0.021478113,0.93853664,0.039985254,0.0
ERR209132,0.016305175,0.97323865,0.010456152,0.0
SRR5495972,0.30528432,0.45529616,0.09001157,0.14940798
SRR5648888,0.011025992,0.98132396,0.0076500904,0.0
SRR5866284,0.011591815,0.9797807,0.008627487,0.0
SRR5399234,0.010974384,0.9814747,0.0075509404,0.0
SRR5399237,0.098479696,0.12520415,0.77631617,0.0
SRR5983412,0.7712778,0.13115206,0.050087184,0.047482967
ERR209412,0.021727115,0.96416605,0.013991475,0.00011539459
SRR5079174,0.012745603,0.97957486,0.007679514,0.0
ERR525914,0.01105476,0.9811705,0.007774835,0.0
SRR1999154,0.010973485,0.98147625,0.0075502517,0.0
SRR5079166,0.011083991,0.9810673,0.007848778,0.0
SRR6182360,0.022381503,0.97131276,0.0063057193,0.0
SRR6251482,0.84035057,0.14287856,0.016770931,0.0
SRR5078869,0.7482363,0.12840076,0.123362996,0.0
SRR5803659,0.010978739,0.9814584,0.007562848,0.0
SRR6265396,0.014205119,0.96590006,0.019894782,0.0
SRR5078585,0.1490415,0.848144,0.0028144903,0.0
SRR5548739,0.9050803,0.06363186,0.030336618,0.0009511709
SRR6264793,0.011278974,0.98048854,0.008232447,0.0
SRR6683695,0.065720275,0.6541608,0.28011894,0.0
SRR5648933,0.012394184,0.98031735,0.0072884667,0.0
SRR6182413,0.0110094445,0.98134315,0.0076474505,0.0
SRR6724522,0.9236548,0.021174856,0.055170324,0.0
SRR1693225,0.9196335,0.058493048,0.021873392,0.0
SRR6901784,0.011192877,0.9813105,0.007496664,0.0
ERR209405,0.012202484,0.9799964,0.0078011015,0.0
ERR209349,0.46010226,0.3910277,0.02714333,0.12172675
ERR209492,0.014949441,0.97762954,0.0074130893,7.927418e-06
SRR5802255,0.011791619,0.9791313,0.009077004,0.0
ERR718998,0.011115943,0.9810943,0.00778982,0.0
SRR7507688,0.011045592,0.9813888,0.0075655486,0.0
