,root:baby_birth,root:baby_fourthmonth,root:mother,Unknown
ERR525753,0.47143778,0.34949195,0.15386379,0.025206447
ERR525804,0.46136573,0.44386816,0.050030947,0.044735193
ERR525879,0.16952707,0.32961816,0.5008548,0.0
ERR525928,0.22752194,0.23338087,0.5390972,0.0
ERR525948,0.53967613,0.30826935,0.15205455,0.0
ERR525963,0.13856488,0.5629289,0.1424894,0.15601683
ERR526027,0.16725755,0.3323986,0.50034386,0.0
ERR526035,0.13264474,0.56872535,0.29862985,0.0
ERR526051,0.2275248,0.23337546,0.5390997,0.0
ERR525735,0.5427784,0.38854152,0.037493855,0.031186223
ERR525744,0.18046162,0.5740774,0.24546091,0.0
ERR525773,0.25204527,0.53623843,0.2117163,0.0
ERR525797,0.2625646,0.46998224,0.26745316,0.0
ERR525807,0.4650673,0.44306615,0.049614727,0.042251825
ERR525845,0.54087245,0.3855305,0.037254095,0.03634298
ERR525853,0.22399318,0.5877259,0.12155917,0.0667218
ERR525913,0.54524094,0.38736427,0.037172407,0.030222416
ERR525921,0.5510173,0.38341597,0.03639704,0.029169738
ERR525946,0.22739726,0.23361608,0.5389866,0.0
ERR525724,0.48734045,0.39358523,0.041711897,0.07736242
ERR525878,0.45894793,0.43382296,0.10722908,0.0
ERR525883,0.5343312,0.33449107,0.13117766,0.0
ERR525892,0.49644926,0.39495638,0.108594425,0.0
ERR525894,0.54608065,0.38668787,0.037103355,0.030128121
ERR525966,0.4571532,0.34010214,0.20274462,0.0
ERR526046,0.32774597,0.40774092,0.057298392,0.20721471
ERR526074,0.5303727,0.33907145,0.1305559,0.0
ERR526030,0.49300775,0.40238813,0.10460414,0.0
ERR526034,0.17361635,0.32442594,0.5019578,0.0
