,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic diseases:Irritable Bowel Syndrome,"root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Inflammatory Bowel Diseases:Colitis, Ulcerative",root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Inflammatory Bowel Diseases:Crohn Disease,Unknown
SRR5650076,0.030568719,0.05169797,0.05500716,0.86272615
SRR6265329,0.0042798817,0.008330137,0.0058647394,0.98152524
SRR1687067,0.3658343,0.032158375,0.09110281,0.51090455
SRR6264562,0.0045036674,0.008498192,0.0063129067,0.98068523
SRR5813185,0.029782057,0.06766945,0.0496144,0.8529341
SRR5202972,0.004278183,0.00832513,0.0058594346,0.9815372
SRR5649070,0.010130167,0.016338736,0.015332729,0.95819837
SRR7507531,0.004486382,0.0084937215,0.006289363,0.98073053
SRR6265219,0.0042310655,0.0087336,0.0059684813,0.9810668
SRR5202933,0.00435254,0.008393258,0.0060071647,0.98124707
SRR5091485,0.13176009,0.030697197,0.07114825,0.7663945
ERR720197,0.0044223964,0.0084474385,0.006154388,0.98097575
ERR209427,0.003912598,0.0134423375,0.0069209337,0.9757241
SRR5078601,0.0042776465,0.008328378,0.0058605075,0.98153347
SRR5813274,0.0036070347,0.02460134,0.008499533,0.9632921
ERR719000,0.0044342577,0.008813918,0.006344527,0.9804073
ERR209880,0.004041791,0.77607435,0.017973155,0.20191073
SRR5629106,0.0124773085,0.33478427,0.017192692,0.63554573
ERR526014,0.0032238662,0.06554058,0.009920955,0.9213146
SRR5399367,0.0043608844,0.0083988905,0.0060212314,0.981219
SRR1763557,0.51925516,0.03739336,0.10810429,0.33524722
SRR6474259,0.024182707,0.022950321,0.032010943,0.920856
SRR6264858,0.070878536,0.04074204,0.106808245,0.78157115
SRR6264264,0.0061593354,0.009507149,0.009589374,0.97474414
SRR5934944,0.014219046,0.16831884,0.03472653,0.7827356
SRR5429315,0.0060755014,0.00957644,0.009204894,0.9751432
ERR321249,0.011669546,0.018580288,0.022687167,0.94706297
SRR6182332,0.004290819,0.008344978,0.005888909,0.9814753
SRR5343106,0.0041645765,0.013402671,0.0071749687,0.97525775
SRR5079117,0.0049496293,0.008862913,0.007234901,0.9789525
ERR1823594,0.0037995875,0.81520045,0.018150955,0.16284907
ERR719559,0.004351318,0.009359509,0.0064386725,0.97985053
SRR5802258,0.0042812526,0.008328646,0.005865276,0.9815248
SRR5648786,0.017469823,0.014806449,0.025225133,0.94249856
ERR209095,0.0029365122,0.16173574,0.012326956,0.8230008
SRR5802268,0.0058276057,0.009170949,0.009064704,0.9759368
SRR7507497,0.013069838,0.03043595,0.021899164,0.93459505
SRR1009071,0.016133374,0.9399944,0.04387219,0.0
SRR5078860,0.0039137304,0.016751856,0.006802976,0.97253144
SRR6265085,0.0042666495,0.008482128,0.005931884,0.9813193
ERR720148,0.0041534007,0.012885541,0.007070571,0.9758905
SRR5761732,0.0048499405,0.011328727,0.00813362,0.97568774
SRR5078588,0.018344402,0.6264649,0.04579252,0.30939817
SRR5650145,0.004293114,0.47155878,0.017913789,0.5062343
SRR6265034,0.022999465,0.013208866,0.033364385,0.9304273
SRR5983426,0.039866358,0.038357854,0.06387979,0.857896
ERR525691,0.004278213,0.008325398,0.005859673,0.98153675
SRR1927149,0.0071693957,0.009502083,0.0116837025,0.9716448
SRR5549036,0.016024593,0.94026476,0.043710656,0.0
SRR5757970,0.03535226,0.07138333,0.07718289,0.8160815
ERR209314,0.004347384,0.06048903,0.0130138695,0.9221497
SRR5580493,0.037916094,0.025686532,0.055730432,0.880667
SRR5813332,0.0045107305,0.008541286,0.006216109,0.98073184
SRR5813178,0.0046732128,0.13436624,0.01845777,0.8425028
ERR209182,0.013223082,0.023355573,0.023812175,0.93960917
SRR6182292,0.004513383,0.008659422,0.0064168274,0.98041034
ERR719498,0.03339103,0.02049157,0.04090169,0.90521574
SRR5757899,0.004757017,0.008889824,0.006782502,0.9795706
ERR209088,0.004450619,0.008466303,0.00620082,0.9808823
SRR5761737,0.0043118,0.008358061,0.0059268475,0.9814033
SRR6331061,0.00436154,0.008568257,0.0061226487,0.98094755
ERR720095,0.004914969,0.010104388,0.007644385,0.9773363
SRR5399246,0.004281074,0.008405685,0.005907446,0.9814058
SRR5079127,0.004276514,0.00833568,0.0058625937,0.9815252
SRR5650170,0.0029077828,0.31646198,0.01791972,0.66271055
ERR209217,0.005790144,0.14127007,0.01599273,0.8369471
SRR5601927,0.061931014,0.10389641,0.09617916,0.7379934
SRR6330878,0.0049220026,0.009188831,0.007332206,0.978557
SRR5578945,0.004224062,0.008787036,0.005989015,0.9809999
SRR5651446,0.02503547,0.03250155,0.04270765,0.89975536
SRR6724436,0.01484853,0.04716429,0.02600345,0.9119837
SRR5396522,0.006079465,0.013683081,0.011042267,0.9691952
SRR5648881,0.0053414106,0.046400875,0.015146792,0.93311095
SRR6474222,0.004709989,0.01723358,0.008920729,0.9691357
SRR5365467,0.005981803,0.009284079,0.009391785,0.97534233
SRR6724452,0.004340768,0.027122766,0.0102157,0.95832074
SRR5761676,0.004270196,0.00838086,0.005875796,0.98147315
SRR5813438,0.0029098094,0.11385426,0.01175186,0.87148404
SRR1765944,0.0062286854,0.013314366,0.010434896,0.9700221
SRR5761748,0.004143715,0.009785891,0.0063055158,0.9797649
SRR7464960,0.004280001,0.008325696,0.0058595836,0.9815347
SRR5651440,0.006694615,0.009512603,0.009546429,0.9742464
SRR6265458,0.0124349,0.011191189,0.015579879,0.96079403
SRR6724583,0.0042753518,0.008373588,0.0058819056,0.98146915
SRR7507569,0.010806978,0.018362135,0.016466439,0.9543644
SRR6474269,0.018798977,0.08342436,0.04286498,0.8549117
ERR719075,0.005745083,0.013890624,0.009973288,0.97039104
SRR7507396,0.0071442723,0.050885946,0.01844138,0.92352843
SRR5343099,0.004278481,0.008538932,0.0059677362,0.9812149
ERR011271,0.017729402,0.02243042,0.031178087,0.92866206
ERR719671,0.0042860806,0.011048794,0.006838292,0.97782683
SRR5802350,0.3942647,0.019364774,0.18953064,0.39683986
SRR5602035,0.010547847,0.030990005,0.022676915,0.93578523
ERR1809133,0.007268876,0.010994285,0.011780202,0.96995664
ERR525889,0.0037788153,0.021487653,0.008007377,0.9667262
SRR5020881,0.056548566,0.03321317,0.053325385,0.85691285
SRR5203283,0.0090429485,0.013730973,0.010789663,0.9664364
SRR5813354,0.0024979413,0.24481001,0.0139915645,0.7387005
SRR6474243,0.037258267,0.051557273,0.060636938,0.85054755
SRR5761720,0.0041919053,0.009930849,0.0060676336,0.97980964
SRR6928813,0.006857902,0.009486973,0.0105960965,0.97305906
SRR2142208,0.016394794,0.27234393,0.054092884,0.6571684
SRR5399194,0.0043020546,0.008352518,0.0059047043,0.9814407
SRR5803624,0.03129685,0.01248014,0.015985578,0.9402374
SRR5947870,0.042563617,0.59008574,0.070893735,0.29645693
ERR719031,0.02606076,0.036427945,0.049518615,0.8879927
SRR5813179,0.0044730604,0.09154281,0.0154931545,0.888491
ERR720017,0.005850613,0.010265559,0.009205043,0.97467875
SRR5650162,0.0031930506,0.060251594,0.009873509,0.9266819
SRR6251516,0.004052013,0.011205494,0.0065259635,0.9782165
SRR6265039,0.0042982996,0.0083479285,0.005899191,0.9814546
SRR5548643,0.07585111,0.8371002,0.08389807,0.0031505823
ERR719864,0.005098909,0.009764791,0.0077043176,0.977432
SRR7690042,0.665658,0.025276542,0.119831115,0.18923438
SRR5548651,0.0061194003,0.022879153,0.014229894,0.95677155
