,root:Host-associated:Human,Unknown
ERR1384230,0.9926694,0.0073305964
SRR6411577,0.9926694,0.0073305964
ERR494400,0.99266934,0.007330656
SRR1461231,0.9926694,0.0073305964
SRR920622,0.9926694,0.0073305964
ERR500258,0.9926694,0.0073305964
ERR1310760,0.9926694,0.0073305964
ERR1109583,0.9926646,0.0073354244
DRR047361,0.9926694,0.0073305964
SRR8356215,0.9926694,0.0073305964
SRR6367328,0.9926654,0.00733459
SRR6054622,0.9926694,0.0073305964
SRR3037215,0.99266934,0.007330656
SRR996932,0.9926694,0.0073305964
SRR7453742,0.9926694,0.0073305964
SRR1461485,0.9926682,0.0073317885
ERR1310288,0.9926694,0.0073305964
DRR048250,0.99266165,0.007338345
ERR1309914,0.9926694,0.0073305964
SRR505154,0.9926694,0.0073305964
SRR388004,0.99266934,0.007330656
ERR2011912,0.9926694,0.0073305964
SRR1461057,0.99266607,0.0073339343
SRR1949296,0.9926694,0.0073305964
ERR561465,0.9926694,0.0073305964
SRR2658802,0.9926694,0.0073305964
ERR1987753,0.9926652,0.0073348284
ERR1328339,0.9926694,0.0073305964
SRR995640,0.9926694,0.0073305964
ERR2002215,0.9926694,0.0073305964
ERR2738824,0.9926694,0.0073305964
DRR047923,0.99266833,0.0073316693
ERR1310905,0.99266934,0.007330656
ERR522540,0.9926694,0.0073305964
DRR044049,0.9926482,0.0073518157
SRR1949299,0.9926694,0.0073305964
SRR2143942,0.9926694,0.0073305964
SRR6414039,0.9926694,0.0073305964
ERR500918,0.9926694,0.0073305964
ERR531974,0.99266934,0.007330656
SRR7453269,0.9926694,0.0073305964
SRR5983390,0.9926683,0.007331729
SRR3201957,0.9926694,0.0073305964
SRR3034973,0.9926694,0.0073305964
ERR866499,0.9926694,0.0073305964
ERR2286300,0.9926694,0.0073305964
SRR7448972,0.9926694,0.0073305964
SRR2143832,0.9926694,0.0073305964
ERR2738984,0.9926694,0.0073305964
ERR500695,0.9926483,0.0073516965
ERR1310042,0.9926694,0.0073305964
DRR047468,0.99266917,0.007330835
SRR3037268,0.9926694,0.0073305964
ERR441622,0.9926694,0.0073305964
ERR532054,0.9926694,0.0073305964
ERR1331853,0.99266934,0.007330656
ERR500172,0.9926694,0.0073305964
SRR6394192,0.9926527,0.0073472857
DRR029190,0.99262893,0.007371068
SRR6414298,0.9926692,0.0073307753
ERR2042071,0.9926694,0.0073305964
SRR1949004,0.9926694,0.0073305964
SRR6444836,0.9926691,0.0073308945
SRR5141877,0.9926694,0.0073305964
ERR867419,0.9926692,0.0073307753
SRR2010309,0.9926694,0.0073305964
ERR2003307,0.9926694,0.0073305964
DRR043133,0.9926549,0.0073450804
SRR3503277,0.9926677,0.007332325
ERR500674,0.9926694,0.0073305964
SRR6393974,0.9926694,0.0073305964
SRR3094702,0.9926692,0.0073307753
ERR2511325,0.9926694,0.0073305964
SRR2163505,0.9926497,0.0073503256
ERR501354,0.9926694,0.0073305964
ERR1913047,0.9926694,0.0073305964
ERR1811303,0.9926694,0.0073305964
DRR042783,0.99266887,0.007331133
ERR1311484,0.9926694,0.0073305964
ERR1310666,0.9926694,0.0073305964
ERR579512,0.9926694,0.0073305964
ERR1383166,0.9926694,0.0073305964
ERR441110,0.9926694,0.0073305964
SRR7448689,0.9926694,0.0073305964
ERR139258,0.99266934,0.007330656
SRR3931558,0.9926694,0.0073305964
ERR2511593,0.9926694,0.0073305964
ERR1383102,0.9926694,0.0073305964
SRR505230,0.9926692,0.0073307753
DRR047427,0.99263334,0.0073666573
ERR2784723,0.9926643,0.0073357224
SRR6931830,0.9926643,0.0073357224
SRR1461078,0.99266934,0.007330656
SRR1630957,0.9926694,0.0073305964
ERR695606,0.9926694,0.0073305964
ERR522462,0.9926694,0.0073305964
SRR5155798,0.9926694,0.0073305964
SRR7448920,0.9926694,0.0073305964
SRR2144030,0.9926694,0.0073305964
SRR6444480,0.992669,0.0073310137
ERR1913199,0.9926694,0.0073305964
SRR6443847,0.9926694,0.0073305964
SRR1618250,0.9926694,0.0073305964
SRR6028318,0.9926694,0.0073305964
SRR7453819,0.9926694,0.0073305964
SRR1461459,0.9926692,0.0073307753
ERR1811214,0.9926694,0.0073305964
ERR498713,0.9926694,0.0073305964
ERR2738987,0.9926692,0.0073307753
SRR5165824,0.9926694,0.0073305964
ERR579501,0.9926694,0.0073305964
ERR500879,0.9926694,0.0073305964
DRR024108,0.99265385,0.0073461533
SRR1631480,0.9926694,0.0073305964
ERR520729,0.9926694,0.0073305964
ERR1315210,0.9926694,0.0073305964
SRR3951037,0.9926694,0.0073305964
SRR6265285,0.9926694,0.0073305964
ERR1385021,0.9926694,0.0073305964
ERR867436,0.992669,0.0073310137
ERR1611394,0.9926694,0.0073305964
ERR1382735,0.9926694,0.0073305964
ERR1310547,0.9926694,0.0073305964
SRR3419411,0.9926694,0.0073305964
SRR997038,0.9926694,0.0073305964
ERR1313492,0.9926694,0.0073305964
SRR994804,0.9926694,0.0073305964
SRR6264643,0.99266934,0.007330656
DRR029267,0.9924994,0.007500589
SRR6394153,0.9926683,0.007331729
SRR995506,0.9926694,0.0073305964
SRR3419366,0.9926694,0.0073305964
ERR501282,0.9926694,0.0073305964
SRR2761294,0.9926694,0.0073305964
SRR3191024,0.9926694,0.0073305964
ERR365969,0.9926694,0.0073305964
SRR1461226,0.9926694,0.0073305964
ERR501144,0.9926694,0.0073305964
ERR1311142,0.9926694,0.0073305964
SRR995901,0.9926694,0.0073305964
ERR1383928,0.9926694,0.0073305964
ERR500713,0.9926694,0.0073305964
SRR5155984,0.9926694,0.0073305964
ERR2042052,0.9926694,0.0073305964
ERR1913115,0.99266934,0.007330656
ERR531946,0.9926694,0.0073305964
DRR044293,0.9926694,0.0073305964
ERR368919,0.9926694,0.0073305964
SRR1461662,0.9926692,0.0073307753
ERR498597,0.9926694,0.0073305964
ERR2511214,0.9926694,0.0073305964
ERR1111210,0.9926694,0.0073305964
SRR6443878,0.99266934,0.007330656
ERR365880,0.9926694,0.0073305964
SRR387968,0.9926694,0.0073305964
SRR5868844,0.9926694,0.0073305964
SRR3951014,0.99266297,0.0073370337
SRR3095195,0.9926694,0.0073305964
ERR1311616,0.9926694,0.0073305964
SRR6931187,0.9926694,0.0073305964
SRR1922921,0.9926694,0.0073305964
SRR5468004,0.9926694,0.0073305964
ERR1315189,0.9926694,0.0073305964
SRR3419454,0.9926694,0.0073305964
ERR1311026,0.9926694,0.0073305964
ERR501269,0.9926694,0.0073305964
SRR3094862,0.9926692,0.0073307753
SRR388111,0.9926694,0.0073305964
ERR209306,0.9926694,0.0073305964
SRR1948943,0.9926694,0.0073305964
