,root:Engineered,root:Environmental,root:Host-associated
SRR5313402,0.018147435,0.81741923,0.16443329
SRR2923078,0.004824575,0.9764033,0.018772054
SRR6408981,0.0040404615,0.0032419406,0.9927176
ERR2495254,0.004318772,0.002929042,0.9927522
ERR1960760,0.004537727,0.0027203874,0.9927418
ERR1582700,0.004762253,0.97682244,0.018415231
ERR1678287,0.0029726273,0.0057270625,0.9913003
ERR1594301,0.0047644866,0.9768092,0.01842633
DRR044034,0.0042504002,0.0030003726,0.9927492
SRR6932119,0.004450839,0.002795352,0.9927538
DRR047816,0.004535674,0.0027158975,0.99274844
ERR443098,0.0041714786,0.003088377,0.9927402
SRR5451630,0.004762436,0.97682184,0.018415725
DRR018397,0.0043833703,0.002861675,0.992755
SRR996204,0.0041777757,0.003090789,0.9927314
ERR443008,0.0042690258,0.002982327,0.9927487
SRR5273202,0.0047625173,0.97682124,0.018416151
DRR018790,0.0045961663,0.0026620936,0.9927417
ERR2730264,0.004454638,0.0027942488,0.9927511
ERR2233527,0.0037139226,0.0037825475,0.9925035
ERR664732,0.004033647,0.0032499789,0.9927164
SRR5165866,0.0042692963,0.0030037493,0.9927269
ERR1311610,0.0042449553,0.0030087132,0.9927463
DRR043806,0.0045698476,0.00268434,0.9927458
SRR994790,0.0025475367,0.006540171,0.9909123
ERR2738657,0.004391963,0.002857127,0.9927509
ERR1511968,0.004006647,0.0033238893,0.99266946
SRR2897071,0.003839453,0.0035826396,0.99257785
ERR309582,0.0037588726,0.0037637583,0.99247736
SRR2145521,0.0044452,0.0028059946,0.9927488
SRR3053411,0.0040971907,0.0031922362,0.9927106
SRR8605112,0.0024542825,0.015533031,0.98201275
ERR1689391,0.004611717,0.0026477056,0.9927406
SRR6444883,0.0039620628,0.0033794206,0.99265856
SRR5869954,0.0046062814,0.002651847,0.9927418
ERR1331834,0.003992018,0.0033138625,0.99269414
SRR5457578,0.0047623515,0.9768222,0.018415568
SRR2153709,0.004762349,0.9768222,0.018415561
SRR5221253,0.0048044613,0.9767072,0.018488295
ERR209223,0.004274647,0.0029880947,0.99273723
ERR1905886,0.004629323,0.0026316354,0.992739
ERR1691683,0.004404993,0.002841668,0.9927533
ERR522368,0.0040138527,0.0033378254,0.9926483
SRR3094767,0.004057283,0.0032279145,0.9927148
ERR2709811,0.0038867292,0.003441168,0.9926721
SRR4414346,0.004762384,0.97682196,0.018415634
SRR4780275,0.0047623515,0.9768222,0.018415568
ERR1678241,0.003969151,0.003435066,0.99259585
SRR632541,0.0047623515,0.9768222,0.018415568
SRR1258263,0.0047623515,0.9768222,0.018415568
ERR1383482,0.004095334,0.0031956788,0.9927089
ERR1135392,0.0044257934,0.0028304637,0.99274373
SRR994583,0.004087024,0.0032276295,0.9926853
ERR1691345,0.0044195587,0.0028274427,0.992753
SRR920970,0.004136282,0.0031271344,0.9927366
SRR1175852,0.003544878,0.003963179,0.9924919
ERR1522243,0.0021987604,0.008174463,0.98962677
SRR8605180,0.002363525,0.0073643248,0.9902721
ERR1533560,0.004125326,0.0032092151,0.99266547
ERR1135391,0.004487043,0.0027882277,0.9927247
SRR6265302,0.004016185,0.0032847633,0.9926991
ERR1310175,0.003896485,0.003435594,0.992668
SRR2658295,0.0034926145,0.004055433,0.99245197
ERR1523484,0.0043834476,0.0028729327,0.9927436
ERR1226491,0.0022589308,0.00790257,0.9898385
ERR444473,0.0046834494,0.0025851356,0.9927314
ERR1263382,0.0039876024,0.0033182933,0.99269414
SRR4414701,0.004776713,0.9767825,0.018440839
ERR1385258,0.0041680355,0.0031162503,0.9927158
ERR1897335,0.0047623515,0.9768222,0.018415568
SRR5827467,0.007297204,0.9578146,0.034888245
SRR5177422,0.0047623515,0.9768222,0.018415568
SRR995297,0.0047932495,0.0024948455,0.9927119
ERR1913310,0.0041416422,0.0031227728,0.9927356
ERR1298067,0.0030136232,0.005071282,0.9919151
ERR531881,0.004086828,0.0032081706,0.9927049
ERR450737,0.004499158,0.0027492573,0.9927516
ERR3040032,0.0037993942,0.0035700363,0.9926306
ERR1855273,0.0047623515,0.9768222,0.018415568
SRR3403842,0.00202586,0.009238766,0.9887354
SRR2668769,0.0047623515,0.9768222,0.018415568
ERR498601,0.004279798,0.0029776848,0.99274254
ERR719922,0.004078757,0.0032198923,0.9927013
ERR1383541,0.003995354,0.0032983476,0.99270624
SRR5210783,0.0040560416,0.0032645494,0.9926795
SRR1371389,0.01161158,0.9198745,0.06851395
ERR1582117,0.00476234,0.9768222,0.01841553
DRR050871,0.0044291015,0.0028162561,0.99275464
ERR1398089,0.004029997,0.0032619732,0.992708
ERR1310557,0.0041834707,0.0030856202,0.9927309
SRR6367247,0.0039352784,0.003375542,0.9926892
ERR1256414,0.003669959,0.0037877744,0.99254227
SRR7448594,0.0033548851,0.0043132207,0.99233186
SRR6028447,0.00423761,0.0030184921,0.99274397
SRR3995675,0.0047672563,0.97680867,0.01842412
DRR050827,0.0046051852,0.0026531264,0.9927417
ERR1263423,0.0035790582,0.0039228816,0.9924981
ERR1691762,0.0042924867,0.0029580249,0.99274945
SRR4300288,0.004773643,0.97679114,0.018435208
SRR6004962,0.0047623515,0.9768222,0.018415568
SRR8605287,0.0023862123,0.007431682,0.9901821
SRR5180495,0.0048588053,0.97656655,0.018574597
SRR2761279,0.004032111,0.003251585,0.9927164
ERR526023,0.004288912,0.002959037,0.9927521
DRR043955,0.0050144927,0.0023278918,0.9926576
ERR1897529,0.0047622155,0.97682273,0.018415105
ERR878268,0.0042560417,0.0030217986,0.9927221
ERR1743314,0.0047623552,0.9768221,0.018415574
SRR2130165,0.0047623515,0.9768222,0.018415568
SRR6931624,0.0040588053,0.003219871,0.99272126
SRR3933914,0.004348699,0.0029051567,0.9927462
ERR1654710,0.003570153,0.003925332,0.9925045
ERR441255,0.004659649,0.0026062222,0.9927341
ERR719285,0.004185448,0.0030775443,0.992737
SRR1618215,0.0043175556,0.0029320046,0.9927504
SRR7449096,0.003334429,0.0043528904,0.9923127
ERR567269,0.0034606084,0.0041488567,0.9923906
SRR6745342,0.004762353,0.9768221,0.01841558
SRR6058700,0.0047803074,0.9767711,0.018448528
ERR719851,0.0040145214,0.0033288947,0.9926565
ERR695417,0.0039258646,0.0034027244,0.9926714
ERR2511887,0.0036559962,0.0037913918,0.99255264
ERR1263208,0.0037755505,0.003629575,0.9925949
SRR5915443,0.0047623515,0.9768222,0.018415568
ERR500282,0.0041579776,0.0031039992,0.99273807
SRR5180575,0.0047623515,0.9768222,0.018415568
ERR520786,0.0040517864,0.0033001273,0.9926481
ERR1474566,0.0041279267,0.0031384272,0.9927336
SRR976692,0.004763263,0.97681946,0.018417286
SRR5868712,0.004127628,0.0031373366,0.992735
SRR6028570,0.004515385,0.0027367768,0.99274784
ERR531476,0.0039793025,0.0033183915,0.99270225
SRR8610191,0.0026256284,0.0062641143,0.9911103
SRR5983289,0.0043973806,0.002848754,0.9927538
SRR3951194,0.0041153976,0.003157335,0.9927273
SRR976657,0.0047885347,0.97674793,0.018463546
ERR1314051,0.003936947,0.0034305898,0.99263245
ERR539098,0.0047623515,0.9768222,0.018415568
SRR6038506,0.0042709103,0.0029928717,0.9927362
ERR1383242,0.004018554,0.003291506,0.9926899
SRR8605537,0.004778997,0.002506739,0.9927142
SRR6411603,0.0045150076,0.002734756,0.99275017
SRR2057942,0.004738479,0.976934,0.018327454
SRR8610269,0.0049934564,0.0023429887,0.9926636
SRR921105,0.004656215,0.0026083998,0.9927354
ERR1256580,0.0035941466,0.0038763033,0.9925296
SRR3581160,0.0040007755,0.0033124872,0.99268675
SRR8608271,0.0051190844,0.0022553143,0.99262553
ERR1582498,0.0047681723,0.97680616,0.018425636
SRR5180735,0.0047623515,0.9768222,0.018415568
ERR539397,0.0047623515,0.9768222,0.018415568
SRR6148430,0.004926043,0.0023923828,0.99268156
