,root:baby_birth,root:baby_fourthmonth,root:mother,Unknown
ERR525725,0.21695781,0.22547752,0.5575646,0.0
ERR525746,0.2160734,0.22638007,0.55754656,0.0
ERR525763,0.13366327,0.5795767,0.1373958,0.1493643
ERR525815,0.13366708,0.57957095,0.13739207,0.14936996
ERR525895,0.13366374,0.57957596,0.13739526,0.14936507
ERR525903,0.13366327,0.5795767,0.1373958,0.1493643
ERR525948,0.13370404,0.5795473,0.13736713,0.14938152
ERR526003,0.21682632,0.22561315,0.55756056,0.0
ERR526039,0.116007,0.47961393,0.36331615,0.04106295
ERR525721,0.14364442,0.5756247,0.13168287,0.14904797
ERR525769,0.13366672,0.5795766,0.13739416,0.14936244
ERR525882,0.33452475,0.39076945,0.052573413,0.22213233
ERR525887,0.13913193,0.5782516,0.13449448,0.14812201
ERR525926,0.1236949,0.5725804,0.1346648,0.16905987
ERR525989,0.49706367,0.40643558,0.09650069,0.0
ERR526041,0.35977197,0.41010508,0.045149297,0.1849736
ERR526053,0.53294337,0.40260333,0.038098514,0.02635479
ERR525921,0.13366327,0.5795767,0.1373958,0.1493643
ERR526029,0.16054973,0.5569767,0.119510144,0.16296339
ERR525724,0.13374966,0.5795745,0.13735506,0.14932072
ERR525749,0.3865075,0.41106194,0.044802547,0.157628
ERR525774,0.55922794,0.38556865,0.03471604,0.020487428
ERR525782,0.13366342,0.5795767,0.13739574,0.14936417
ERR525846,0.1227034,0.5735908,0.13538885,0.16831696
ERR525850,0.4443571,0.32499406,0.23064888,0.0
ERR525888,0.15589118,0.29870978,0.54539907,0.0
ERR525954,0.49162,0.4207293,0.08765073,0.0
ERR525938,0.13375533,0.57957447,0.1373524,0.1493178
ERR525970,0.48812717,0.420973,0.0908998,0.0
