,root:baby_birth:cesarean_section,root:baby_birth:vaginal_delivery,root:baby_fourthmonth:cesarean_section,root:baby_fourthmonth:vaginal_delivery,Unknown
ERR525725,0.08724636,0.18731868,0.09292954,0.058882773,0.57362264
ERR525746,0.08695948,0.18621185,0.094818026,0.058026284,0.5739844
ERR525763,0.10119581,0.25682265,0.031031787,0.13130724,0.4796425
ERR525815,0.08706221,0.18612081,0.09456304,0.057983786,0.5742701
ERR525895,0.102522425,0.045398537,0.18754952,0.6645295,0.0
ERR525903,0.14143822,0.48663518,0.109259784,0.038431615,0.22423518
ERR525948,0.16981536,0.0841835,0.11453473,0.6314664,0.0
ERR526003,0.09722185,0.23744765,0.04181868,0.10718927,0.51632255
ERR526039,0.08706218,0.18612084,0.0945631,0.057983756,0.5742701
ERR525721,0.11055553,0.27781826,0.048467964,0.21005756,0.35310066
ERR525769,0.08139646,0.3247488,0.18460977,0.055391252,0.3538537
ERR525882,0.04285056,0.21049914,0.4055379,0.34111238,0.0
ERR525887,0.09985854,0.09138022,0.221654,0.58710724,0.0
ERR525926,0.17994675,0.37522298,0.038084865,0.15279955,0.2539459
ERR525989,0.2194539,0.5756092,0.040554464,0.10154584,0.06283653
ERR526041,0.10798001,0.048867594,0.17240916,0.67074317,0.0
ERR526053,0.18367071,0.659313,0.09036026,0.066655986,0.0
ERR525921,0.06351772,0.20957124,0.18357351,0.0702143,0.4731232
ERR526029,0.16008556,0.04986701,0.12376973,0.6662777,0.0
ERR525724,0.10120797,0.25688612,0.031003177,0.13138983,0.47951293
ERR525749,0.09711767,0.04489369,0.1399454,0.71804327,0.0
ERR525774,0.08706221,0.18612081,0.09456304,0.057983786,0.5742701
ERR525782,0.147423,0.04265114,0.10881587,0.70110995,0.0
ERR525846,0.09339592,0.044545252,0.14423642,0.71782243,0.0
ERR525850,0.16035295,0.536036,0.035224885,0.097629696,0.17075646
ERR525888,0.10120797,0.25688612,0.031003177,0.13138989,0.4795128
ERR525954,0.19394368,0.13787249,0.11576143,0.5392724,0.013149977
ERR525938,0.094717205,0.42096013,0.06486127,0.12595397,0.2935074
ERR525970,0.10120797,0.25688612,0.031003177,0.13138983,0.47951293
