,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases,root:Diseases:Digestive System Diseases:Liver Diseases:Liver Cirrhosis,root:Diseases:Hemic and Lymphatic Diseases:Hematologic Diseases:Hematologic Neoplasms,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections:Gram-Positive Bacterial Infections,Unknown
SRR5650076,0.6996599,0.039617866,0.039553136,0.0852319,0.13593721
SRR6265329,0.045939147,0.023908734,0.012030929,0.009679377,0.9084418
SRR1687067,0.6085606,0.040346503,0.023616672,0.043448538,0.2840277
SRR6264562,0.045865953,0.02393189,0.012043834,0.00970453,0.9084538
SRR5813185,0.06955868,0.024655193,0.01257816,0.01209861,0.88110936
SRR5202972,0.31006646,0.010924041,0.020653993,0.11431369,0.5440418
SRR5649070,0.041970015,0.025412053,0.012938887,0.011429101,0.90825
SRR7507531,0.045942158,0.023911566,0.01203391,0.009680897,0.9084315
SRR6265219,0.045939,0.023908794,0.012030989,0.009679526,0.90844166
SRR5202933,0.04586619,0.023932278,0.012043983,0.0097049475,0.90845263
SRR5091485,0.050065786,0.023905843,0.012186766,0.010283083,0.9035585
ERR720197,0.04584849,0.023937613,0.012046993,0.009710759,0.90845615
ERR209427,0.045923352,0.02391377,0.012033731,0.009684831,0.9084443
SRR5078601,0.045939147,0.023908734,0.012030929,0.009679377,0.9084418
SRR5813274,0.04564038,0.024003625,0.012083888,0.009782523,0.9084896
ERR719000,0.04544419,0.024066567,0.012119025,0.009851515,0.9085187
ERR209880,0.6845778,0.03871113,0.027118385,0.05778116,0.1918115
SRR5629106,0.044881374,0.024249345,0.012222081,0.010055006,0.9085922
ERR526014,0.04636538,0.023862809,0.012028277,0.009755433,0.9079881
SRR5399367,0.045939,0.023908794,0.012030989,0.009679526,0.90844166
SRR1763557,0.70015323,0.036401242,0.03231123,0.07319403,0.15794027
SRR6474259,0.08368218,0.024536788,0.012944311,0.013816237,0.8650205
SRR6264858,0.10098496,0.01946181,0.018199414,0.05114788,0.81020594
SRR6264264,0.045613915,0.024012148,0.012088805,0.009792209,0.9084929
SRR5934944,0.056322753,0.024959803,0.013310909,0.012570947,0.8928356
SRR5429315,0.07385403,0.25692618,0.3173745,0.058863193,0.2929821
ERR321249,0.16765729,0.019379973,0.014403969,0.03166932,0.76688945
SRR6182332,0.045939147,0.023908734,0.012030959,0.009679496,0.90844166
SRR5343106,0.045885384,0.02392584,0.012040466,0.009697914,0.90845037
SRR5079117,0.045929253,0.023911864,0.0120327175,0.009682864,0.90844333
ERR1823594,0.049471885,0.023581922,0.012056172,0.010305971,0.90458405
ERR719559,0.045104176,0.024176687,0.012180448,0.009972572,0.9085661
SRR5802258,0.045939624,0.023908615,0.012030929,0.0096794665,0.90844136
SRR5648786,0.04557702,0.024027169,0.01209864,0.009804368,0.9084928
ERR209095,0.045939475,0.023908705,0.012030929,0.009679437,0.9084414
SRR5802268,0.30939594,0.02301097,0.012088805,0.03416398,0.6213403
SRR7507497,0.046812296,0.024097532,0.012144476,0.00976029,0.90718544
SRR1009071,0.5048802,0.13145348,0.23552704,0.12813924,0.0
SRR5078860,0.045939147,0.023908734,0.012030929,0.009679377,0.9084418
SRR6265085,0.045939147,0.023908734,0.012030929,0.009679377,0.9084418
ERR720148,0.0463154,0.02389571,0.012051225,0.009743869,0.9079938
SRR5761732,0.04481852,0.02427718,0.012235045,0.010083526,0.9085857
SRR5078588,0.5893014,0.038348764,0.021948814,0.04270315,0.3076979
SRR5650145,0.605524,0.04057151,0.022106826,0.041051477,0.2907462
SRR6265034,0.03360784,0.049589694,0.044769257,0.013149351,0.85888386
SRR5983426,0.14032122,0.018147081,0.013262808,0.029090732,0.7991781
ERR525691,0.04593876,0.0239093,0.012031466,0.0096794665,0.908441
SRR1927149,0.045932055,0.02391103,0.012032211,0.00968191,0.9084428
SRR5549036,0.71456903,0.034859836,0.0321697,0.077344805,0.14105666
SRR5757970,0.17620912,0.023778021,0.05394563,0.6349814,0.11108583
ERR209314,0.045790672,0.024043024,0.01217261,0.010000557,0.90799314
SRR5580493,0.22651961,0.015427887,0.016955465,0.056044847,0.68505216
SRR5813332,0.045173407,0.024154782,0.01216805,0.009948313,0.90855545
SRR5813178,0.04635346,0.023867905,0.012035996,0.009763896,0.9079788
ERR209182,0.041498423,0.025478393,0.012952954,0.011569023,0.9085012
SRR6182292,0.045887947,0.023924917,0.012039989,0.00969705,0.9084501
ERR719498,0.05404368,0.02553004,0.012386709,0.009890407,0.89814913
SRR5757899,0.21536078,0.029255249,0.05395972,0.7014242,0.0
ERR209088,0.04540384,0.024087965,0.012129217,0.009874523,0.9085045
SRR5761737,0.045939147,0.023908734,0.012030929,0.009679377,0.9084418
SRR6331061,0.04517302,0.024153978,0.012167782,0.009947449,0.9085578
ERR720095,0.04475084,0.024334788,0.012295902,0.010136694,0.9084818
SRR5399246,0.0459283,0.023912162,0.0120328665,0.009683162,0.9084435
SRR5079127,0.045939296,0.023908764,0.012030929,0.009679556,0.9084414
SRR5650170,0.713939,0.03496185,0.032074004,0.076884866,0.14214027
ERR209217,0.04442343,0.024401367,0.0123104155,0.010231674,0.9086331
SRR5601927,0.42486268,0.023681372,0.020095468,0.055264235,0.47609627
SRR6330878,0.044130594,0.024504095,0.012362212,0.01033777,0.9086653
SRR5578945,0.28407136,0.020689517,0.011749566,0.03640759,0.647082
SRR5651446,0.05324307,0.023681372,0.012635797,0.011262387,0.8991774
SRR6724436,0.16286582,0.47336027,0.26146045,0.061861217,0.0404523
SRR5396522,0.04491031,0.024558991,0.012544036,0.0104549825,0.9075317
SRR5648881,0.043159634,0.024943262,0.012655795,0.010761082,0.9084802
SRR6474222,0.044855893,0.02425763,0.012230843,0.010071963,0.90858364
SRR5365467,0.017053574,0.042815357,0.025864512,0.058686584,0.85558
SRR6724452,0.159363,0.3857147,0.28195298,0.030446917,0.14252245
SRR5761676,0.045939147,0.023908734,0.012030929,0.009679377,0.9084418
SRR5813438,0.049396157,0.023763597,0.0120791495,0.010195881,0.9045652
SRR1765944,0.0458616,0.02422437,0.012505978,0.010835558,0.90657246
SRR5761748,0.20747565,0.02914905,0.057319522,0.70605576,0.0
SRR7464960,0.033129245,0.05102375,0.04754612,0.013129532,0.8551713
SRR5651440,0.04653859,0.024057955,0.01205495,0.009679556,0.90766895
SRR6265458,0.6843108,0.03775412,0.029177457,0.06265476,0.18610287
SRR6724583,0.1636703,0.47651002,0.26177773,0.062287837,0.035754085
SRR7507569,0.04403338,0.024632514,0.012473941,0.010396808,0.90846336
SRR6474269,0.047959566,0.023821443,0.012282193,0.010455161,0.90548164
ERR719075,0.045938224,0.02391079,0.012032837,0.009679884,0.90843827
SRR7507396,0.04594156,0.023908019,0.012031704,0.00968048,0.9084382
SRR5343099,0.045918196,0.02391535,0.012034655,0.009686619,0.9084452
ERR011271,0.038736314,0.07707468,0.07185665,0.018289864,0.79404247
ERR719671,0.045805484,0.023951024,0.012054592,0.0097254515,0.9084635
SRR5802350,0.046868265,0.023809075,0.012021452,0.009843588,0.9074576
SRR5602035,0.55687714,0.024496645,0.030609548,0.09648475,0.29153192
ERR1809133,0.044942826,0.024232239,0.012213796,0.010036111,0.90857506
ERR525889,0.045632094,0.024006337,0.012085378,0.009785563,0.90849066
SRR5020881,0.037494004,0.02714327,0.013827831,0.013590962,0.90794396
SRR5203283,0.045326054,0.024104983,0.012140304,0.009893477,0.9085352
