,root:Diseases,root:Health,root:Infections,Unknown
SRR5650076,0.79266566,0.15072031,0.056614064,0.0
SRR6265329,0.032910883,0.9506077,0.014368117,0.0021132827
SRR1687067,0.696004,0.2471665,0.056829553,0.0
SRR6264562,0.032910883,0.9506077,0.014368117,0.0021132827
SRR5813185,0.09156718,0.895444,0.012988916,0.0
SRR5202972,0.057626575,0.8610408,0.06398666,0.017346025
SRR5649070,0.038285077,0.9369056,0.018289149,0.006520152
SRR7507531,0.032910585,0.9505819,0.014376581,0.0021309257
SRR6265219,0.032910883,0.9506077,0.014368117,0.0021132827
SRR5202933,0.032910883,0.95060766,0.014368176,0.0021132827
SRR5091485,0.033910006,0.9490099,0.014433622,0.0026464462
ERR720197,0.032910824,0.95060754,0.014368176,0.0021134615
ERR209427,0.032916218,0.9505907,0.014374763,0.002118349
SRR5078601,0.032912612,0.95060617,0.014367998,0.002113223
SRR5813274,0.03296703,0.95038396,0.014448285,0.0022007227
ERR719000,0.03296557,0.9504342,0.014436424,0.0021638274
ERR209880,0.7772458,0.17236702,0.050387118,0.0
SRR5629106,0.03312677,0.95003295,0.014490604,0.0023496747
ERR526014,0.033540517,0.949945,0.014324993,0.002189517
SRR5399367,0.032910883,0.9506077,0.014368117,0.0021132827
SRR1763557,0.78996366,0.15228131,0.057755094,0.0
SRR6474259,0.07106012,0.91534513,0.013594744,0.0
SRR6264858,0.038731515,0.92636055,0.020859629,0.014048338
SRR6264264,0.0328964,0.95046264,0.014405102,0.0022358894
SRR5934944,0.036684602,0.94148815,0.01646176,0.005365491
SRR5429315,0.78574556,0.15114392,0.06311051,0.0
ERR321249,0.23276773,0.67728263,0.07228595,0.017663658
SRR6182332,0.032910883,0.9506077,0.014368117,0.0021132827
SRR5343106,0.032910794,0.95060766,0.014368117,0.002113402
SRR5079117,0.032910198,0.950607,0.014368415,0.0021144152
ERR1823594,0.038553834,0.94113624,0.016611427,0.0036984682
ERR719559,0.033035398,0.9502346,0.014520556,0.002209425
SRR5802258,0.032910883,0.95060766,0.014368117,0.0021133423
SRR5648786,0.033033937,0.9502456,0.014504105,0.002216339
ERR209095,0.032894284,0.9505629,0.014381349,0.0021614432
SRR5802268,0.43582374,0.5581414,0.006034895,0.0
SRR7507497,0.033901453,0.9488462,0.014479965,0.0027723312
SRR1009071,0.7943102,0.14900865,0.05668119,0.0
SRR5078860,0.032910883,0.9506077,0.014368117,0.0021132827
SRR6265085,0.032910883,0.9506077,0.014368117,0.0021132827
ERR720148,0.03296396,0.95046484,0.014393985,0.0021771789
SRR5761732,0.03286183,0.9502012,0.014496833,0.002440095
SRR5078588,0.4986304,0.47422153,0.027148025,0.0
SRR5650145,0.69990236,0.2617819,0.038315795,0.0
SRR6265034,0.03309557,0.9500327,0.014551848,0.0023198128
SRR5983426,0.14620852,0.8132864,0.034618914,0.0058861375
ERR525691,0.032914728,0.9506042,0.014367849,0.002113223
SRR1927149,0.032910764,0.95060754,0.014368176,0.002113521
SRR5549036,0.79433686,0.15092227,0.054740958,0.0
SRR5757970,0.21440274,0.21102679,0.5745705,0.0
ERR209314,0.0335688,0.9486724,0.0149971545,0.0027616024
SRR5580493,0.13995722,0.8071051,0.042286396,0.010651231
SRR5813332,0.03311646,0.9500048,0.014617115,0.0022616386
SRR5813178,0.034879416,0.945917,0.014758915,0.004444599
ERR209182,0.033861607,0.94785,0.015272588,0.0030157566
SRR6182292,0.032914758,0.9505886,0.014375389,0.0021212697
ERR719498,0.03543985,0.9470229,0.014765948,0.0027712584
SRR5757899,0.16819419,0.17392491,0.6578809,0.0
ERR209088,0.032911777,0.950597,0.014371723,0.0021195412
SRR5761737,0.032910883,0.9506077,0.014368117,0.0021132827
SRR6331061,0.033747464,0.94816196,0.015391439,0.0026991367
ERR720095,0.033441216,0.94900084,0.014992148,0.0025658607
SRR5399246,0.03290856,0.9506053,0.01436913,0.0021170378
SRR5079127,0.032922387,0.950598,0.014367729,0.0021119118
SRR5650170,0.79412395,0.1510824,0.05479367,0.0
ERR209217,0.033141613,0.94985485,0.014648646,0.0023548603
SRR5601927,0.42344436,0.51286536,0.063690215,0.0
SRR6330878,0.033121526,0.9499744,0.014625102,0.002278924
SRR5578945,0.39668506,0.59733075,0.0059841475,0.0
SRR5651446,0.034118056,0.9481858,0.014650553,0.003045559
SRR6724436,0.7940692,0.15107174,0.05485917,0.0
SRR5396522,0.035007775,0.9430874,0.01623407,0.005670786
SRR5648881,0.04329121,0.91432154,0.024262667,0.01812458
SRR6474222,0.033136368,0.9499132,0.014640868,0.0023095608
SRR5365467,0.048913926,0.8926608,0.041294128,0.01713121
SRR6724452,0.7933901,0.15149085,0.0551191,0.0
SRR5761676,0.032910883,0.9506077,0.014368117,0.0021132827
SRR5813438,0.033273607,0.9501734,0.014368594,0.0021844506
SRR1765944,0.03549987,0.9439733,0.01674828,0.0037785769
SRR5761748,0.20993747,0.2032582,0.5868044,0.0
SRR7464960,0.040913373,0.9294731,0.023018807,0.006594658
SRR5651440,0.03340289,0.94996727,0.014436036,0.0021938086
SRR6265458,0.7825676,0.15374883,0.063683584,0.0
SRR6724583,0.794168,0.15117998,0.054652043,0.0
SRR7507569,0.034091175,0.94694316,0.015496224,0.0034694672
SRR6474269,0.034397244,0.9479671,0.014548391,0.0030872822
ERR719075,0.032794744,0.95038486,0.014442861,0.0023775697
SRR7507396,0.03291279,0.9506005,0.014369786,0.0021169186
SRR5343099,0.03291124,0.9506066,0.014368594,0.0021135807
ERR011271,0.37962195,0.60965997,0.010718063,0.0
ERR719671,0.03292039,0.95057976,0.01437965,0.0021202564
SRR5802350,0.03344819,0.9501245,0.014335513,0.0020917654
SRR5602035,0.5218306,0.37985864,0.09831067,0.0
ERR1809133,0.032995403,0.9496504,0.0146534145,0.0027008057
ERR525889,0.032945454,0.9504763,0.014411449,0.0021668077
SRR5020881,0.03374535,0.94811904,0.015258551,0.0028770566
SRR5203283,0.032912105,0.9505468,0.014388233,0.0021529198
SRR5813354,0.03291112,0.95060647,0.014368594,0.0021138191
SRR6474243,0.24699622,0.7407302,0.012273636,0.0
SRR5761720,0.03287658,0.95057225,0.014383197,0.0021679401
SRR6928813,0.032911777,0.95058674,0.014375925,0.0021255612
SRR2142208,0.7512683,0.18301898,0.06571264,0.0
SRR5399194,0.032910883,0.9506077,0.014368117,0.0021132827
SRR5803624,0.03292322,0.95057297,0.014379531,0.0021243095
SRR5947870,0.7881886,0.1560972,0.05571427,0.0
ERR719031,0.067193896,0.9031744,0.021765083,0.007866621
SRR5813179,0.038820356,0.9429184,0.01426217,0.003998995
ERR720017,0.03304836,0.9501723,0.014539748,0.002239585
SRR5650162,0.79053634,0.1546773,0.05478639,0.0
SRR6251516,0.03292194,0.950574,0.014374614,0.0021294355
SRR6265039,0.032910883,0.9506077,0.014368117,0.0021132827
SRR5548643,0.79360414,0.15129402,0.05510189,0.0
ERR719864,0.03301084,0.95030487,0.01449129,0.002192974
SRR7690042,0.792618,0.14955024,0.05783179,0.0
SRR5548651,0.7337869,0.19472612,0.071486995,0.0
SRR5020876,0.03300953,0.95034057,0.014457405,0.0021924973
SRR5758129,0.502743,0.10922119,0.38803574,0.0
ERR719178,0.03379485,0.9486716,0.014660209,0.0028733015
ERR011150,0.03304869,0.9501665,0.014526308,0.0022584796
SRR5866359,0.03294763,0.9504302,0.014420658,0.0022015572
SRR5602036,0.032912523,0.95060265,0.014370203,0.0021146536
ERR719029,0.053202122,0.92689884,0.016240925,0.0036580563
SRR5429072,0.60353714,0.31679264,0.07967015,0.0
SRR5761712,0.77966446,0.16009197,0.060243562,0.0
SRR6265293,0.21394266,0.76999825,0.016058987,0.0
SRR6724380,0.7941684,0.15117955,0.054651987,0.0
SRR5758125,0.27198237,0.11314305,0.61487454,0.0
SRR6474301,0.033142716,0.9497345,0.014670223,0.0024524927
SRR5580410,0.0747356,0.9115075,0.0137570035,0.0
SRR5495956,0.18816668,0.50340766,0.21017045,0.09825522
SRR5202884,0.03291121,0.95059395,0.014372975,0.0021219254
SRR6264071,0.032910883,0.9506077,0.014368117,0.0021132827
ERR634981,0.79416865,0.15065826,0.055173095,0.0
SRR5758111,0.2604166,0.12866184,0.61092156,0.0
SRR5903360,0.033450335,0.9489674,0.01498127,0.0026010275
SRR2175767,0.39618692,0.59316295,0.010650215,0.0
SRR5947858,0.6370923,0.28795505,0.07495267,0.0
SRR5761746,0.033056706,0.9501221,0.014544845,0.0022763014
SRR5549005,0.7913681,0.15261288,0.056018975,0.0
SRR5803758,0.03367877,0.94878125,0.014709026,0.0028309822
ERR719606,0.03309861,0.94994605,0.014610767,0.0023446083
SRR6265233,0.032987148,0.94981056,0.014585793,0.002616465
SRR5711562,0.7938539,0.14775462,0.058391545,0.0
ERR209319,0.04157138,0.94132626,0.014283985,0.002818346
ERR526084,0.78475845,0.1641895,0.0510521,0.0
SRR961843,0.033043593,0.9496099,0.014603376,0.002743125
SRR5343028,0.032911003,0.95060736,0.0143683255,0.0021133423
SRR6264844,0.032925516,0.9505713,0.014381647,0.0021215677
SRR5548524,0.79532045,0.14898749,0.055692095,0.0
ERR209362,0.033162177,0.9499241,0.014525056,0.0023886561
ERR525801,0.7852905,0.14673358,0.06797595,0.0
SRR2142193,0.7941414,0.15119651,0.054662056,0.0
SRR5648864,0.034993976,0.944505,0.016964197,0.0035368204
ERR720077,0.033458054,0.9489529,0.015013814,0.0025752187
ERR720128,0.033008784,0.9502202,0.014507681,0.0022633076
ERR719452,0.032930017,0.95056313,0.014373064,0.0021337867
ERR209829,0.7381233,0.2140046,0.04787215,0.0
SRR5651409,0.7975989,0.13719416,0.065207,0.0
SRR6185165,0.78892934,0.15697363,0.054096963,0.0
SRR1999165,0.03291124,0.950606,0.014368832,0.0021139383
ERR209360,0.033147126,0.94993144,0.014543235,0.0023781657
ERR209740,0.22529083,0.765421,0.009288125,0.0
SRR5802384,0.79326886,0.1377387,0.0689924,0.0
SRR5602060,0.03317392,0.9501418,0.014507413,0.0021768808
SRR6474248,0.03312382,0.9501266,0.014497012,0.0022525787
SRR6424587,0.09792618,0.23253751,0.66953635,0.0
SRR5079213,0.12344297,0.24645369,0.63010335,0.0
SRR6264279,0.032910883,0.9506077,0.014368117,0.0021132827
SRR5202973,0.03290546,0.9506006,0.014370948,0.0021229982
ERR525700,0.7669265,0.17676122,0.056312233,0.0
ERR719218,0.03383553,0.94813335,0.014722139,0.0033090115
SRR5983404,0.7196889,0.22489528,0.055415902,0.0
SRR2673279,0.04224202,0.94057,0.014929056,0.0022588968
SRR1930138,0.033088237,0.95008767,0.014582962,0.0022411346
ERR719263,0.033639103,0.9484145,0.0152032375,0.002743125
SRR5078567,0.03291124,0.9506073,0.014368117,0.0021133423
SRR6182347,0.03293076,0.95054984,0.014392078,0.0021273494
SRR5548203,0.7941685,0.15117955,0.05465196,0.0
