,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic diseases:Irritable Bowel Syndrome,"root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Inflammatory Bowel Diseases:Colitis, Ulcerative",root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Inflammatory Bowel Diseases:Crohn Disease,Unknown
SRR5650076,0.048811197,0.46104142,0.16189912,0.32824826
SRR6265329,0.036034524,0.025511622,0.010798216,0.92765564
SRR1687067,0.20918822,0.13901827,0.018419862,0.6333736
SRR6264562,0.036034524,0.025511622,0.010798216,0.92765564
SRR5813185,0.034174055,0.10096854,0.027352214,0.8375052
SRR5202972,0.048009455,0.06980693,0.014756888,0.86742675
SRR5649070,0.03795445,0.025903493,0.011131197,0.92501086
SRR7507531,0.03604734,0.025513738,0.0107984245,0.9276405
SRR6265219,0.036034524,0.025511622,0.010798216,0.92765564
SRR5202933,0.036034644,0.025511593,0.010798216,0.9276556
SRR5091485,0.03758353,0.027054578,0.011274844,0.92408705
ERR720197,0.036034822,0.025511593,0.010798156,0.92765546
ERR209427,0.036039293,0.025512367,0.010798335,0.92765
SRR5078601,0.036034524,0.025511622,0.010798216,0.92765564
SRR5813274,0.036187172,0.025537848,0.010815173,0.92745984
ERR719000,0.03625518,0.025551498,0.010835141,0.92735815
ERR209880,0.031366467,0.23640433,0.055442274,0.6767869
SRR5629106,0.03703341,0.02572298,0.01100719,0.9262364
ERR526014,0.03420967,0.031535238,0.013556629,0.92069846
SRR5399367,0.036034524,0.025511622,0.010798216,0.92765564
SRR1763557,0.21257785,0.14517012,0.018886745,0.6233653
SRR6474259,0.035289884,0.06672743,0.020806879,0.8771758
SRR6264858,0.038143545,0.026002496,0.011004418,0.9248495
SRR6264264,0.036512077,0.025589198,0.011046827,0.92685187
SRR5934944,0.047387958,0.029706508,0.011701494,0.91120404
SRR5429315,0.036043048,0.025512755,0.010800153,0.927644
ERR321249,0.03453225,0.06919834,0.024798125,0.8714713
SRR6182332,0.036034524,0.025511622,0.010798216,0.92765564
SRR5343106,0.036034614,0.025511622,0.010798156,0.9276556
SRR5079117,0.03605196,0.025511712,0.010818958,0.9276174
ERR1823594,0.04374233,0.06867248,0.016006231,0.87157893
ERR719559,0.036213845,0.02554223,0.010828793,0.92741513
SRR5802258,0.036034733,0.025511682,0.010798156,0.92765546
SRR5648786,0.036083132,0.02551958,0.010799646,0.92759764
ERR209095,0.036044896,0.025514126,0.010804057,0.9276369
SRR5802268,0.023565799,0.08913976,0.034164548,0.85312986
SRR7507497,0.03879085,0.026527435,0.011534363,0.9231473
SRR1009071,0.08711141,0.06765592,0.014477015,0.83075565
SRR5078860,0.036034524,0.025511622,0.010798216,0.92765564
SRR6265085,0.036034524,0.025511622,0.010798216,0.92765564
ERR720148,0.036612183,0.025663614,0.01085338,0.9268708
SRR5761732,0.036073685,0.025516927,0.010811031,0.92759836
SRR5078588,0.04350692,0.40126616,0.09718126,0.45804566
SRR5650145,0.037297934,0.33267614,0.07207841,0.5579475
SRR6265034,0.036129236,0.025527477,0.010803312,0.92753994
SRR5983426,0.03431025,0.061683834,0.02145347,0.88255244
ERR525691,0.036034584,0.025511533,0.010798156,0.9276557
SRR1927149,0.036034584,0.025511593,0.010798156,0.9276557
SRR5549036,0.060621977,0.607936,0.22234818,0.109093785
SRR5757970,0.03886035,0.026428819,0.01123932,0.9234715
ERR209314,0.03764373,0.02628687,0.0109016,0.9251678
SRR5580493,0.037585646,0.035068333,0.014357805,0.9129882
SRR5813332,0.036136687,0.025528848,0.010803133,0.92753136
SRR5813178,0.036318272,0.02558133,0.010813564,0.92728686
ERR209182,0.0394316,0.026584923,0.011513412,0.9224701
SRR6182292,0.036039412,0.025512367,0.010798365,0.92764986
ERR719498,0.039173752,0.027452022,0.0112845,0.9220897
SRR5757899,0.036034524,0.025511622,0.010798216,0.92765564
ERR209088,0.036040545,0.025512576,0.0107985735,0.9276483
SRR5761737,0.036034524,0.025511622,0.010798216,0.92765564
SRR6331061,0.036084265,0.02551964,0.010803163,0.92759293
ERR720095,0.037358552,0.02579844,0.011101067,0.9257419
SRR5399246,0.036034584,0.025511622,0.010798156,0.92765564
SRR5079127,0.036034524,0.025511622,0.010798216,0.92765564
SRR5650170,0.058156222,0.57839555,0.21267542,0.15077281
ERR209217,0.036652833,0.025643557,0.010835201,0.92686844
SRR5601927,0.03910625,0.19732139,0.05158022,0.71199214
SRR6330878,0.03626731,0.025551826,0.0108248,0.92735606
SRR5578945,0.02804789,0.15578625,0.07024872,0.74591714
SRR5651446,0.038303465,0.02866909,0.012257785,0.9207697
SRR6724436,0.036129713,0.025527567,0.010799825,0.9275429
SRR5396522,0.03878233,0.026144981,0.011172324,0.92390037
SRR5648881,0.038351566,0.025988817,0.011559159,0.92410046
SRR6474222,0.036560237,0.025618166,0.010833025,0.9269886
SRR5365467,0.036386967,0.02556619,0.010890901,0.927156
SRR6724452,0.050835103,0.028505862,0.011205822,0.9094532
SRR5761676,0.03603494,0.025511563,0.010798663,0.92765486
SRR5813438,0.036426842,0.03248349,0.012906909,0.91818273
SRR1765944,0.0365704,0.02561763,0.01082018,0.9269918
SRR5761748,0.04200223,0.027138948,0.011732668,0.91912615
SRR7464960,0.036034524,0.025511622,0.010798216,0.92765564
SRR5651440,0.03662157,0.025783151,0.010835826,0.9267595
SRR6265458,0.21132454,0.13888523,0.018182456,0.6316078
SRR6724583,0.036034524,0.025511622,0.010798216,0.92765564
SRR7507569,0.037370056,0.025776356,0.011014819,0.92583877
SRR6474269,0.038799822,0.028224349,0.011771381,0.92120445
ERR719075,0.037083387,0.025622815,0.01191622,0.9253776
SRR7507396,0.036085725,0.025520235,0.010800511,0.9275935
SRR5343099,0.03603527,0.025511712,0.010798305,0.92765474
ERR011271,0.036794543,0.026864737,0.011560917,0.9247798
